	r	pbpy_020_000	pbpy_020_001	pbpy_020_002	pbpy_020_003	pbpy_020_004	pbpy_020_005	pbpy_020_006	pbpy_020_007	pbpy_020_008	pbpy_020_009	pbpy_020_010	pbpy_020_011	pbpy_020_012	pbpy_020_013	pbpy_020_014	pbpy_020_015	pbpy_020_016	pbpy_020_017	pbpy_020_018	pbpy_020_019	pbpy_020_020	pbpy_030_000	pbpy_030_001	pbpy_030_002	pbpy_030_003	pbpy_030_004	pbpy_030_005	pbpy_030_006	pbpy_030_007	pbpy_030_008	pbpy_030_009	pbpy_030_010	pbpy_030_011	pbpy_030_012	pbpy_030_013	pbpy_030_014	pbpy_030_015	pbpy_030_016	pbpy_030_017	pbpy_030_018	pbpy_030_019	pbpy_030_020	pbpy_040_000	pbpy_040_001	pbpy_040_002	pbpy_040_003	pbpy_040_004	pbpy_040_005	pbpy_040_006	pbpy_040_007	pbpy_040_008	pbpy_040_009	pbpy_040_010	pbpy_040_011	pbpy_040_012	pbpy_040_013	pbpy_040_014	pbpy_040_015	pbpy_040_016	pbpy_040_017	pbpy_040_018	pbpy_040_019	pbpy_040_020	pbpy_050_000	pbpy_050_001	pbpy_050_002	pbpy_050_003	pbpy_050_004	pbpy_050_005	pbpy_050_006	pbpy_050_007	pbpy_050_008	pbpy_050_009	pbpy_050_010	pbpy_050_011	pbpy_050_012	pbpy_050_013	pbpy_050_014	pbpy_050_015	pbpy_050_016	pbpy_050_017	pbpy_050_018	pbpy_050_019	pbpy_050_020	pbpy_060_000	pbpy_060_001	pbpy_060_002	pbpy_060_003	pbpy_060_004	pbpy_060_005	pbpy_060_006	pbpy_060_007	pbpy_060_008	pbpy_060_009	pbpy_060_010	pbpy_060_011	pbpy_060_012	pbpy_060_013	pbpy_060_014	pbpy_060_015	pbpy_060_016	pbpy_060_017	pbpy_060_018	pbpy_060_019	pbpy_060_020
117	2.089285848	-0.08410731	-0.10273513	-0.09775866	-0.10763611	-0.099464856	-0.10185044	-0.1088829	-0.107777014	-0.10135015	-0.104615405	-0.105909936	-0.098467216	-0.111062385	-0.08665159	-0.103276566	-0.10427779	-0.10432175	-0.10555037	-0.092605196	-0.10011764	-0.105550595	-0.13279615	-0.15195398	-0.15552115	-0.14728339	-0.13659926	-0.15238264	-0.13354462	-0.14234026	-0.14896114	-0.14761627	-0.14284316	-0.15087505	-0.1487667	-0.14519282	-0.14307833	-0.14401518	-0.15825626	-0.1490114	-0.13808613	-0.14493863	-0.15827045	-0.13285576	-0.13308448	-0.14496565	-0.13445859	-0.15480964	-0.14092278	-0.14937639	-0.13814804	-0.14279549	-0.14090177	-0.13608457	-0.14652035	-0.1452783	-0.14843643	-0.14763111	-0.15236379	-0.13562934	-0.13666058	-0.14597605	-0.12852558	-0.14554495	-0.13812229	-0.14029312	-0.14007026	-0.15506315	-0.14563991	-0.15020752	-0.13328004	-0.13894571	-0.14835373	-0.1313008	-0.14319612	-0.15068644	-0.1479056	-0.14881724	-0.14611916	-0.14712965	-0.14056462	-0.14555699	-0.14150144	-0.14869083	-0.13864192	-0.13762775	-0.13919167	-0.14032379	-0.14461231	-0.14641319	-0.13649645	-0.15340346	-0.14049342	-0.14363617	-0.14493802	-0.14119221	-0.14480597	-0.13933402	-0.14411137	-0.1406654	-0.14526834	-0.13951528	-0.15046923	-0.14106898	-0.14452235	-0.13042057
118	2.107142992	-0.08275379	-0.10081085	-0.09585283	-0.10625415	-0.098186284	-0.1017191	-0.10853463	-0.10635657	-0.099652454	-0.10242322	-0.10345782	-0.0973704	-0.11359878	-0.084995985	-0.100998774	-0.10530033	-0.10235866	-0.10360399	-0.09344768	-0.09880591	-0.10299658	-0.1251943	-0.14608629	-0.15335727	-0.14798114	-0.1333184	-0.14485794	-0.13063212	-0.14120433	-0.14078121	-0.14171648	-0.13488019	-0.148009	-0.14731222	-0.14065629	-0.13565709	-0.13900824	-0.15831164	-0.14242269	-0.1349955	-0.14651227	-0.15424412	-0.12262227	-0.13671926	-0.14626259	-0.13413808	-0.15419167	-0.14332175	-0.15446585	-0.14415777	-0.1434114	-0.14371812	-0.14656349	-0.15067936	-0.15336196	-0.15963735	-0.14863716	-0.152383	-0.13537937	-0.13976716	-0.15303779	-0.14113991	-0.14560549	-0.1564678	-0.17098184	-0.17213348	-0.18365096	-0.17309141	-0.17393266	-0.16471879	-0.17099825	-0.18061686	-0.16430865	-0.1724789	-0.17651209	-0.17431767	-0.18109906	-0.1776784	-0.1768085	-0.16895892	-0.17170416	-0.17513347	-0.17916676	-0.16770582	-0.16916904	-0.1818334	-0.18566053	-0.19008616	-0.18750067	-0.18035956	-0.19400191	-0.184333	-0.1873596	-0.18960498	-0.18386969	-0.18956195	-0.18050803	-0.18863602	-0.18507226	-0.19092017	-0.18185034	-0.19213407	-0.18458453	-0.18531294	-0.17908491
119	2.1250001359999997	-0.0819506	-0.09893846	-0.094324395	-0.10457306	-0.09592713	-0.10048831	-0.10643267	-0.10439506	-0.09785476	-0.09996536	-0.10098391	-0.095435366	-0.113355435	-0.08300644	-0.09773248	-0.10395057	-0.0987343	-0.10129179	-0.092935145	-0.09633146	-0.101061046	-0.10801286	-0.13207605	-0.14313447	-0.142476	-0.12771988	-0.13386369	-0.124836504	-0.13248698	-0.12594424	-0.12988079	-0.12947284	-0.13913368	-0.13675138	-0.12927666	-0.12964293	-0.13016483	-0.14681245	-0.13278586	-0.125035	-0.13990635	-0.13834926	-0.110830046	-0.1426617	-0.14011526	-0.13054848	-0.14844558	-0.13845304	-0.1499781	-0.14404705	-0.13680872	-0.13961965	-0.15129796	-0.14802097	-0.1516773	-0.16149765	-0.14443937	-0.14618975	-0.13425714	-0.13496338	-0.14979215	-0.14828262	-0.1404386	-0.15684025	-0.18451567	-0.18626003	-0.19215818	-0.18192303	-0.18082702	-0.18155459	-0.18419094	-0.19229186	-0.1789283	-0.18595318	-0.1845219	-0.18417186	-0.19316165	-0.19199117	-0.18989715	-0.18111727	-0.18347047	-0.19253404	-0.19013725	-0.18191478	-0.17691976	-0.20287637	-0.20805134	-0.21086793	-0.20372348	-0.20156837	-0.21004295	-0.206875	-0.20676638	-0.20926106	-0.2050255	-0.21133673	-0.20075645	-0.2101408	-0.20539236	-0.2110224	-0.20149858	-0.21092851	-0.20462911	-0.20445155	-0.20373689
120	2.14285728	-0.08017398	-0.096369006	-0.09171811	-0.102185525	-0.09359736	-0.097848006	-0.10291761	-0.102129705	-0.09473865	-0.096471414	-0.09899636	-0.092383	-0.10997344	-0.08077552	-0.0919214	-0.10106573	-0.092498496	-0.098374136	-0.09132851	-0.09336391	-0.09881484	-0.09462328	-0.12076582	-0.13331656	-0.13809544	-0.12761162	-0.12669683	-0.12323163	-0.12550683	-0.11608434	-0.123612374	-0.13048778	-0.12859245	-0.12448869	-0.11981434	-0.1312835	-0.125961	-0.13335375	-0.12606545	-0.116397254	-0.13109931	-0.12396294	-0.10912758	-0.1508348	-0.13630636	-0.13154742	-0.14394826	-0.13459648	-0.14347596	-0.14309989	-0.13217735	-0.13761748	-0.15377884	-0.14562882	-0.14731964	-0.15903313	-0.14118701	-0.14167452	-0.14051573	-0.13109109	-0.14387502	-0.15462343	-0.1396449	-0.15284656	-0.18543743	-0.18653488	-0.1868536	-0.17719227	-0.17779055	-0.18641709	-0.18356453	-0.18894425	-0.18279749	-0.188673	-0.1809311	-0.18197899	-0.19072276	-0.192428	-0.19078049	-0.18016365	-0.18456993	-0.19680315	-0.18746515	-0.18682994	-0.17501102	-0.20487948	-0.21046112	-0.21018842	-0.2014644	-0.20616294	-0.20747162	-0.21183424	-0.20683579	-0.20947395	-0.20957427	-0.21310316	-0.20521884	-0.21231407	-0.20802924	-0.21087646	-0.20275308	-0.21038902	-0.20683451	-0.20641981	-0.20930158
121	2.160714424	-0.07700288	-0.09284864	-0.08750215	-0.097636014	-0.090242594	-0.0928653	-0.09631467	-0.098997846	-0.08988945	-0.09062972	-0.09646357	-0.08903601	-0.10449966	-0.07479768	-0.08226545	-0.09805265	-0.08328087	-0.094329566	-0.08735056	-0.08987156	-0.095068276	-0.095119454	-0.120405644	-0.13015635	-0.13838454	-0.13620193	-0.12868074	-0.12864438	-0.12489252	-0.11805452	-0.12948261	-0.13620612	-0.12170395	-0.11940879	-0.1192701	-0.14012603	-0.1308401	-0.1270916	-0.12614577	-0.11647999	-0.1268717	-0.1222413	-0.113284096	-0.15530983	-0.13728726	-0.13993852	-0.14153866	-0.13593969	-0.13838996	-0.14279501	-0.13242318	-0.13880867	-0.1559594	-0.14520785	-0.14573646	-0.15528496	-0.14191398	-0.14071433	-0.1515166	-0.13185725	-0.14071408	-0.16184631	-0.14414664	-0.14662644	-0.17786703	-0.1772312	-0.17244838	-0.16436617	-0.1680728	-0.18099427	-0.17391291	-0.17719075	-0.18117276	-0.18260974	-0.16899298	-0.17164919	-0.17978293	-0.18077566	-0.18128452	-0.16823535	-0.17662372	-0.18837065	-0.17594038	-0.18397582	-0.16676225	-0.19109033	-0.19690003	-0.19298281	-0.18638025	-0.19885129	-0.19076163	-0.20125769	-0.19260074	-0.19541766	-0.20032495	-0.19836904	-0.1965685	-0.19800712	-0.19787408	-0.19543146	-0.19005223	-0.19343232	-0.19659625	-0.19313946	-0.20119384
122	2.1785715679999997	-0.07315467	-0.087019876	-0.080758154	-0.089710005	-0.08328097	-0.08311235	-0.08261065	-0.094144486	-0.08267943	-0.07979646	-0.09193406	-0.08382696	-0.095715225	-0.062178817	-0.069197126	-0.09362974	-0.07148192	-0.08689554	-0.07845939	-0.08415084	-0.088657334	-0.10865871	-0.12991197	-0.13447455	-0.14220406	-0.14923714	-0.13932107	-0.13860889	-0.12979388	-0.1298857	-0.14280753	-0.14230469	-0.12203219	-0.12565722	-0.1276749	-0.15066722	-0.1421784	-0.13033274	-0.13248874	-0.12676772	-0.13063417	-0.13274072	-0.11557318	-0.1533966	-0.14012946	-0.15236479	-0.14055495	-0.14167704	-0.13526121	-0.14334531	-0.13564059	-0.13992086	-0.15755297	-0.14503978	-0.14798251	-0.15101343	-0.14646146	-0.14246385	-0.15931432	-0.13613917	-0.14185145	-0.16783065	-0.1496791	-0.13292652	-0.16269262	-0.16090688	-0.15097454	-0.14700617	-0.15248376	-0.16662404	-0.15682696	-0.16036008	-0.17199808	-0.16560504	-0.1501349	-0.1552738	-0.16318111	-0.15855761	-0.16269304	-0.14841881	-0.15930268	-0.16691703	-0.15764898	-0.17071313	-0.14671285	-0.16387647	-0.16988052	-0.16290961	-0.16009389	-0.17978078	-0.16163434	-0.17451528	-0.16670536	-0.16868138	-0.17600897	-0.1692464	-0.17381535	-0.1688703	-0.17535965	-0.16659607	-0.16498818	-0.16163297	-0.17478345	-0.16478588	-0.18070686
123	2.196428712	-0.06541993	-0.07510114	-0.067579165	-0.07660036	-0.06988917	-0.06527814	-0.059747685	-0.08580535	-0.07107594	-0.06159939	-0.08397717	-0.07145597	-0.07996813	-0.044468444	-0.055186063	-0.08342672	-0.056702245	-0.07219541	-0.0639329	-0.074272096	-0.07692523	-0.12587985	-0.13917932	-0.14092578	-0.14552304	-0.15833461	-0.15125507	-0.1482056	-0.13566135	-0.14299236	-0.1516341	-0.14471976	-0.12670253	-0.13765264	-0.1378603	-0.15488964	-0.15204851	-0.13614827	-0.13953677	-0.1400657	-0.13803267	-0.14402324	-0.11799033	-0.14835703	-0.14246404	-0.16160911	-0.13987075	-0.14703348	-0.13365991	-0.14499249	-0.13893768	-0.13912322	-0.15610403	-0.1441245	-0.15140325	-0.14536585	-0.15022422	-0.14540549	-0.15952846	-0.14151174	-0.14495952	-0.1682588	-0.15207559	-0.11217582	-0.13822763	-0.13828641	-0.12285027	-0.12644124	-0.13145998	-0.14515994	-0.13296564	-0.1372804	-0.15031365	-0.13622724	-0.12604794	-0.13300674	-0.1411159	-0.1293564	-0.13756645	-0.12640773	-0.1332724	-0.13478027	-0.13311906	-0.14553842	-0.11369218	-0.12581974	-0.13108495	-0.122771874	-0.122798815	-0.1467883	-0.1212571	-0.13220328	-0.13072349	-0.13015522	-0.13530055	-0.12771557	-0.13633032	-0.12766486	-0.13923414	-0.1257795	-0.12806243	-0.117436014	-0.13946542	-0.12396595	-0.1465911
124	2.2142858559999996	-0.047021233	-0.054649156	-0.0446662	-0.057214253	-0.04918112	-0.03974539	-0.03292476	-0.070977315	-0.05342555	-0.038458988	-0.06984522	-0.048586406	-0.055999395	-0.026622433	-0.042873144	-0.06389374	-0.038576756	-0.048570544	-0.046471592	-0.059572443	-0.05676049	-0.134328	-0.13654861	-0.13998103	-0.14212564	-0.15530849	-0.15251322	-0.15139925	-0.13410796	-0.1462369	-0.14650907	-0.13871084	-0.1260068	-0.14153013	-0.13924482	-0.14458108	-0.151553	-0.13263473	-0.13899647	-0.14364105	-0.1372648	-0.14248656	-0.12431274	-0.14198573	-0.14228058	-0.16022155	-0.13511197	-0.14480665	-0.12985274	-0.14463362	-0.1380895	-0.13503125	-0.1472719	-0.14147903	-0.15063563	-0.13557705	-0.1442957	-0.14432186	-0.15210718	-0.14445005	-0.14322445	-0.15824476	-0.14733359	-0.08988308	-0.10274418	-0.10854798	-0.088127345	-0.10117398	-0.10336387	-0.11697979	-0.10353632	-0.10461487	-0.11497843	-0.09730658	-0.09677189	-0.10260119	-0.11233968	-0.096709706	-0.1069609	-0.10567158	-0.10055224	-0.095809035	-0.10218387	-0.110699795	-0.07359813	-0.08023452	-0.08258792	-0.07565084	-0.0763814	-0.09865383	-0.07114177	-0.07882083	-0.08597908	-0.082494944	-0.08129534	-0.07709788	-0.086570196	-0.07836653	-0.08983062	-0.075936854	-0.081360266	-0.06527542	-0.089904405	-0.0758855	-0.098012574
125	2.2321429999999998	-0.018301046	-0.029841539	-0.017199365	-0.034782093	-0.024850326	-0.014708729	-0.0135371685	-0.048376475	-0.031712852	-0.018891413	-0.04694451	-0.02092218	-0.029014328	-0.013895372	-0.03316072	-0.03736205	-0.020523326	-0.02149195	-0.030513654	-0.040970504	-0.029931808	-0.12182445	-0.11643621	-0.122715585	-0.12460861	-0.13428947	-0.13240828	-0.13998237	-0.114617355	-0.13049315	-0.1250536	-0.11829737	-0.11018346	-0.12349317	-0.12268376	-0.115737915	-0.13411963	-0.111263424	-0.123765334	-0.12682673	-0.11647527	-0.12078507	-0.123794645	-0.12781654	-0.1329701	-0.14271471	-0.118648514	-0.12798315	-0.11511564	-0.13378198	-0.1260946	-0.12239134	-0.12569903	-0.1314022	-0.13772772	-0.116342865	-0.12089045	-0.12883407	-0.13524762	-0.1374201	-0.1267754	-0.13372706	-0.12969005	-0.063412026	-0.056979403	-0.07008794	-0.047818676	-0.067331724	-0.06422083	-0.07928792	-0.06845267	-0.06115693	-0.069797456	-0.05405409	-0.05936535	-0.061103135	-0.07481298	-0.06036512	-0.06811169	-0.08160501	-0.062035345	-0.05222636	-0.06407274	-0.069115244	-0.02887495	-0.03014968	-0.027588174	-0.02493898	-0.024592584	-0.03751975	-0.013707662	-0.02158578	-0.033533067	-0.029121913	-0.021755096	-0.022099547	-0.029450212	-0.02445392	-0.030698987	-0.021032155	-0.02884905	-0.0109669445	-0.029409971	-0.024936965	-0.03655152
126	2.250000144	0.006437194	-0.01053212	0.0012614884	-0.01692789	-0.0056060655	-0.0023479664	-0.010298709	-0.022854052	-0.012474848	-0.0114134215	-0.01889474	-0.0016011035	-0.009031796	-0.009948507	-0.026202105	-0.012902372	-0.010305563	-0.002713241	-0.01966478	-0.021716176	-0.0061888616	-0.082524225	-0.08177946	-0.0872634	-0.089748934	-0.09480542	-0.089478366	-0.10662779	-0.07319348	-0.09459582	-0.08975827	-0.08155718	-0.07816678	-0.08070423	-0.08570879	-0.07357761	-0.098194405	-0.0736261	-0.092033155	-0.0881094	-0.07416431	-0.08122363	-0.096699476	-0.09666343	-0.105401345	-0.10689107	-0.085739344	-0.094258994	-0.0822326	-0.104387075	-0.097471386	-0.094688386	-0.08844021	-0.10463057	-0.105672665	-0.08284856	-0.08100935	-0.09119799	-0.10419677	-0.11090381	-0.090049654	-0.09422634	-0.09510237	-0.02162593	-0.006429656	-0.023715045	-0.005957961	-0.0238244	-0.014734286	-0.03032715	-0.026924789	-0.011595092	-0.020768661	-0.011446729	-0.01345918	-0.010926161	-0.02873594	-0.018548327	-0.019577153	-0.045845877	-0.018412365	-0.0064359796	-0.019820107	-0.022361513	0.024392521	0.02088131	0.027719235	0.024845947	0.02681186	0.02816892	0.044011544	0.031303823	0.022903772	0.025602167	0.033424217	0.0306642	0.02763063	0.029714143	0.029764358	0.033143383	0.023619859	0.037949145	0.032829218	0.025221119	0.03040898
