	r	ico_020_000	ico_020_001	ico_020_002	ico_020_003	ico_020_004	ico_020_005	ico_020_006	ico_020_007	ico_020_008	ico_020_009	ico_020_010	ico_020_011	ico_020_012	ico_020_013	ico_020_014	ico_020_015	ico_020_016	ico_020_017	ico_020_018	ico_020_019	ico_020_020	ico_030_000	ico_030_001	ico_030_002	ico_030_003	ico_030_004	ico_030_005	ico_030_006	ico_030_007	ico_030_008	ico_030_009	ico_030_010	ico_030_011	ico_030_012	ico_030_013	ico_030_014	ico_030_015	ico_030_016	ico_030_017	ico_030_018	ico_030_019	ico_030_020	ico_040_000	ico_040_001	ico_040_002	ico_040_003	ico_040_004	ico_040_005	ico_040_006	ico_040_007	ico_040_008	ico_040_009	ico_040_010	ico_040_011	ico_040_012	ico_040_013	ico_040_014	ico_040_015	ico_040_016	ico_040_017	ico_040_018	ico_040_019	ico_040_020	ico_050_000	ico_050_001	ico_050_002	ico_050_003	ico_050_004	ico_050_005	ico_050_006	ico_050_007	ico_050_008	ico_050_009	ico_050_010	ico_050_011	ico_050_012	ico_050_013	ico_050_014	ico_050_015	ico_050_016	ico_050_017	ico_050_018	ico_050_019	ico_050_020	ico_060_000	ico_060_001	ico_060_002	ico_060_003	ico_060_004	ico_060_005	ico_060_006	ico_060_007	ico_060_008	ico_060_009	ico_060_010	ico_060_011	ico_060_012	ico_060_013	ico_060_014	ico_060_015	ico_060_016	ico_060_017	ico_060_018	ico_060_019	ico_060_020
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.017857144	-0.0034458055	-0.0037334554	-0.0036209424	-0.0039771046	-0.0037390138	-0.003465312	-0.0034584696	-0.0035959575	-0.0033687858	-0.003371127	-0.0033895194	-0.003701865	-0.0039364314	-0.0036151845	-0.0035627803	-0.0038096283	-0.003784126	-0.0036134135	-0.0033822036	-0.0035702274	-0.0037625488	-0.002741792	-0.0032990314	-0.0033639187	-0.0032884565	-0.003444384	-0.0033796863	-0.0034445482	-0.0034561101	-0.0034082497	-0.0032968507	-0.0032203249	-0.0032503365	-0.003115789	-0.0030887448	-0.0034977775	-0.0031167727	-0.0035047906	-0.0032966132	-0.0033009225	-0.0034399417	-0.0033215496	-0.0028108947	-0.0032899415	-0.003289205	-0.0032895957	-0.0032869943	-0.003160939	-0.003157798	-0.0032378195	-0.0032378735	-0.0031602741	-0.003246756	-0.0032407565	-0.0031588124	-0.003206595	-0.0031631452	-0.0031912967	-0.0032285834	-0.003165896	-0.003215266	-0.0031568604	-0.0031790594	-0.0026373784	-0.0029716578	-0.002983467	-0.0029775093	-0.0030797007	-0.0030730267	-0.0031278792	-0.002941082	-0.0030043304	-0.0029167728	-0.0030278894	-0.0030387237	-0.003002373	-0.0029742734	-0.0030585947	-0.0030259285	-0.0031321484	-0.0030092383	-0.0030332238	-0.002974041	-0.0030585814	-0.0024800836	-0.0029103397	-0.0028548646	-0.0028642744	-0.0029045802	-0.002912305	-0.0028076204	-0.0027971768	-0.002923159	-0.0028397143	-0.0029213778	-0.0028472326	-0.002908532	-0.002871049	-0.0028530334	-0.0028882471	-0.0029805098	-0.0029183505	-0.0027971477	-0.0028932572	-0.0029348205
2	0.035714288	-0.0060079517	-0.0071129296	-0.007240574	-0.007710982	-0.0074566426	-0.007043067	-0.0070942338	-0.006812733	-0.0068648653	-0.0070722043	-0.006964936	-0.0071997815	-0.007386018	-0.0072528324	-0.007062826	-0.007325022	-0.0072301053	-0.0072048265	-0.006988448	-0.007031412	-0.007511064	-0.0054711015	-0.007034105	-0.006653415	-0.006691249	-0.0066818716	-0.0066839727	-0.0067367544	-0.006661574	-0.006658431	-0.0067050173	-0.006617398	-0.0067416094	-0.0066002384	-0.006560887	-0.00668954	-0.0065111015	-0.0068756677	-0.006640771	-0.006488025	-0.006769935	-0.006575741	-0.0052620233	-0.0065203863	-0.0064470614	-0.006505737	-0.006386507	-0.0063168234	-0.006287615	-0.006244942	-0.006470397	-0.00632295	-0.0063835876	-0.006486945	-0.0063368687	-0.0063771834	-0.006417309	-0.0062874975	-0.0064488645	-0.006268	-0.0063856146	-0.006287772	-0.0064157587	-0.004930766	-0.0059705586	-0.005956348	-0.005929528	-0.0060652015	-0.005993778	-0.0059973123	-0.005949145	-0.005921784	-0.005883309	-0.005913092	-0.0060448246	-0.005997096	-0.0059035453	-0.0060209027	-0.005893894	-0.006095844	-0.005968029	-0.0059712953	-0.00600234	-0.0059723584	-0.004743449	-0.005769882	-0.005659533	-0.0057645356	-0.0057738293	-0.005740308	-0.005649208	-0.005724297	-0.005796803	-0.005766583	-0.005824043	-0.0056869327	-0.005760751	-0.0057240613	-0.005678096	-0.0057601123	-0.005841349	-0.0057875	-0.0057507213	-0.005803626	-0.005807479
3	0.053571431999999995	-0.008444021	-0.010452258	-0.0108695915	-0.011404039	-0.01117518	-0.0106494725	-0.010753532	-0.009977614	-0.010378472	-0.010818241	-0.010569485	-0.010684974	-0.010770422	-0.010883447	-0.010549886	-0.010803225	-0.010647678	-0.010786186	-0.01063429	-0.010467784	-0.011255452	-0.008233895	-0.010830418	-0.009943992	-0.010110152	-0.009899193	-0.009990647	-0.010012763	-0.009838945	-0.009894914	-0.010131123	-0.010039997	-0.010261016	-0.0101407785	-0.010088674	-0.009839683	-0.009948211	-0.010236148	-0.009992526	-0.009661972	-0.01008365	-0.009828506	-0.007705365	-0.009748449	-0.009589721	-0.009714281	-0.009470628	-0.009478778	-0.009425341	-0.009228257	-0.009714902	-0.009495447	-0.009510037	-0.009736171	-0.009524059	-0.009551572	-0.009683172	-0.009379415	-0.009675142	-0.009366715	-0.00956108	-0.009417975	-0.009662269	-0.007212933	-0.008975745	-0.008933515	-0.008878925	-0.009039084	-0.008902692	-0.008837038	-0.008967963	-0.008831755	-0.008858892	-0.008785642	-0.009051677	-0.008993049	-0.008834512	-0.008978743	-0.00874662	-0.009040153	-0.008926249	-0.008901321	-0.009037994	-0.0088701155	-0.007001704	-0.0086276615	-0.008465505	-0.008673569	-0.008644471	-0.008556447	-0.008500018	-0.008677336	-0.008664324	-0.008711762	-0.008727947	-0.008529731	-0.00860801	-0.008576925	-0.008507823	-0.008635407	-0.0086878175	-0.008649007	-0.008730063	-0.0087217735	-0.008674792
4	0.071428576	-0.011744398	-0.014138749	-0.014499449	-0.015331887	-0.014912404	-0.014145876	-0.014235196	-0.013512206	-0.013763754	-0.01423643	-0.013989089	-0.014371549	-0.014631216	-0.0144859	-0.014094563	-0.014568449	-0.01439919	-0.014384451	-0.014059791	-0.014006279	-0.015010236	-0.011017404	-0.014196943	-0.013309777	-0.013415498	-0.013320938	-0.013373501	-0.01343845	-0.013263237	-0.013287499	-0.013447649	-0.013288127	-0.01354131	-0.01331878	-0.013239025	-0.013289628	-0.013112431	-0.013729329	-0.013296608	-0.012947199	-0.013503712	-0.013148297	-0.010514275	-0.013036789	-0.01286223	-0.012995913	-0.0127418125	-0.012647583	-0.012593723	-0.012440248	-0.012968148	-0.012667978	-0.01274584	-0.01298077	-0.012694121	-0.0127634825	-0.012859361	-0.01256704	-0.012911409	-0.01252969	-0.012783851	-0.012574446	-0.012852717	-0.00984483	-0.01195629	-0.011924221	-0.011855132	-0.012107434	-0.011965202	-0.0119336145	-0.011922657	-0.0118297385	-0.011787431	-0.011801806	-0.012093406	-0.01199864	-0.011813113	-0.012034962	-0.011757644	-0.0121523375	-0.01193719	-0.011927523	-0.012021579	-0.011912662	-0.009481997	-0.011538916	-0.011325246	-0.0115503	-0.011553564	-0.011457291	-0.011320668	-0.011506999	-0.011582727	-0.011575089	-0.011653385	-0.011382951	-0.011513419	-0.011450126	-0.011369413	-0.011530555	-0.011654633	-0.011560642	-0.011558944	-0.011626622	-0.011606186
5	0.08928571999999999	-0.015289335	-0.017898813	-0.01810446	-0.019334115	-0.018641183	-0.017579343	-0.017663544	-0.017143618	-0.017107805	-0.017558575	-0.017344601	-0.018077414	-0.01861524	-0.01809523	-0.017658615	-0.018401025	-0.018201075	-0.01799595	-0.017400952	-0.017587602	-0.01876638	-0.013733177	-0.017438602	-0.016671127	-0.016685987	-0.016779961	-0.016748965	-0.016893532	-0.016740572	-0.016704349	-0.0167257	-0.016482834	-0.016762821	-0.016382512	-0.016276132	-0.016819494	-0.01618888	-0.017240344	-0.01658267	-0.016256047	-0.016953	-0.01646836	-0.013340443	-0.016330026	-0.016165078	-0.016292732	-0.016043877	-0.015804743	-0.015746739	-0.015699735	-0.016197909	-0.015821474	-0.016002655	-0.01621945	-0.015846334	-0.015967995	-0.016012104	-0.015763642	-0.01613597	-0.015699744	-0.015996777	-0.015732527	-0.016023852	-0.0125032365	-0.014927686	-0.01490973	-0.014839853	-0.015202159	-0.015054738	-0.015092487	-0.014859191	-0.014846024	-0.014701142	-0.014846609	-0.015137104	-0.015005002	-0.014791692	-0.0151035115	-0.014802292	-0.0153063005	-0.014952618	-0.014973188	-0.01499378	-0.014990371	-0.011977429	-0.014458459	-0.01418715	-0.014414295	-0.014464943	-0.01438643	-0.014127687	-0.014290085	-0.014518092	-0.0144069325	-0.014581375	-0.014234827	-0.01443335	-0.01432826	-0.014226732	-0.014423656	-0.014654776	-0.014491873	-0.014341281	-0.01452092	-0.014552853
6	0.10714286399999999	-0.017998118	-0.021312742	-0.02169664	-0.023104738	-0.022343326	-0.02110522	-0.021257576	-0.020412091	-0.020569745	-0.02119163	-0.020870816	-0.021573864	-0.0221307	-0.021730918	-0.021162689	-0.02194782	-0.02166445	-0.021587955	-0.020942708	-0.02106806	-0.022506094	-0.016407391	-0.021091228	-0.019950269	-0.020062942	-0.02003384	-0.020041011	-0.020198226	-0.01997278	-0.019963413	-0.020103918	-0.01984179	-0.020214075	-0.01979091	-0.019673046	-0.020056358	-0.019523477	-0.020615334	-0.019910809	-0.019453458	-0.020297557	-0.019716498	-0.015790004	-0.019561619	-0.019340906	-0.019517118	-0.01915986	-0.018951375	-0.01886392	-0.018734435	-0.019411955	-0.018970078	-0.019151224	-0.019460944	-0.019011332	-0.019132067	-0.019251779	-0.018863348	-0.019346893	-0.018804403	-0.019157773	-0.018863743	-0.019247746	-0.014806276	-0.01792494	-0.017882407	-0.017801419	-0.018208377	-0.017994436	-0.01800395	-0.017860444	-0.017778367	-0.017662805	-0.017752217	-0.018147722	-0.01800418	-0.017723788	-0.018075882	-0.017694166	-0.018299976	-0.017917244	-0.017926838	-0.01802006	-0.017929694	-0.014247903	-0.017328478	-0.016997546	-0.017312432	-0.017340697	-0.017239094	-0.016966486	-0.017192937	-0.017408919	-0.017319273	-0.01749132	-0.017079504	-0.017300624	-0.017190604	-0.017053543	-0.01729958	-0.017542621	-0.017380495	-0.017271606	-0.017430132	-0.017440926
7	0.125000008	-0.02033736	-0.02460774	-0.025315292	-0.02675485	-0.026048118	-0.024714075	-0.024921551	-0.02352829	-0.024083864	-0.024958188	-0.02448292	-0.025031174	-0.02545327	-0.0253479	-0.02462903	-0.025384972	-0.025042268	-0.025151363	-0.024599198	-0.02447619	-0.026233824	-0.019175256	-0.024924444	-0.023230642	-0.02348753	-0.023227243	-0.023338847	-0.023454744	-0.023121605	-0.023181697	-0.02353408	-0.023275482	-0.023748428	-0.023364456	-0.023233747	-0.02317026	-0.022983618	-0.023958491	-0.023261173	-0.022611925	-0.023594841	-0.022959407	-0.018209454	-0.02278521	-0.02247145	-0.022718374	-0.022229034	-0.022114463	-0.022002893	-0.021698182	-0.02265941	-0.022146264	-0.022268184	-0.02271068	-0.022201998	-0.022306588	-0.022526043	-0.021949237	-0.022574442	-0.021898052	-0.022332197	-0.021992425	-0.022499964	-0.017070085	-0.020940214	-0.02086676	-0.020754851	-0.021179914	-0.020897932	-0.020827344	-0.020893363	-0.020688012	-0.020651037	-0.020619225	-0.021159671	-0.0210065	-0.020659938	-0.021033816	-0.020540284	-0.02123617	-0.02087942	-0.020855898	-0.021067973	-0.020821217	-0.016498927	-0.020192612	-0.019810595	-0.020236026	-0.020219492	-0.020057054	-0.019832026	-0.020170696	-0.020281665	-0.020284623	-0.020404033	-0.01993304	-0.020153241	-0.020052234	-0.019892884	-0.020184906	-0.020387689	-0.02024705	-0.020277448	-0.020361591	-0.020313045
8	0.142857152	-0.023455676	-0.028228927	-0.02894565	-0.030611817	-0.02977191	-0.028237987	-0.028419144	-0.026979815	-0.027477417	-0.028420387	-0.027927363	-0.028690802	-0.029213786	-0.028922379	-0.028140588	-0.029086744	-0.02874642	-0.028719485	-0.028066222	-0.027965063	-0.029967597	-0.022008607	-0.028365284	-0.026595619	-0.026808064	-0.026618296	-0.026722439	-0.026854169	-0.026504539	-0.026551913	-0.026869236	-0.026551763	-0.027058594	-0.026611883	-0.026452541	-0.026559003	-0.026199609	-0.027433963	-0.026569199	-0.025874622	-0.026986377	-0.026273407	-0.021021072	-0.026072387	-0.025724417	-0.025990536	-0.025482692	-0.025293259	-0.025185071	-0.024880597	-0.025932057	-0.025334409	-0.025491402	-0.025959691	-0.025386075	-0.025525678	-0.025717003	-0.02513375	-0.02582041	-0.025058173	-0.025564987	-0.025148634	-0.025703955	-0.019704962	-0.023936927	-0.0238721	-0.023735033	-0.024240408	-0.023954889	-0.023893181	-0.023869773	-0.023684643	-0.023599088	-0.023627883	-0.024211094	-0.024021653	-0.023649983	-0.02409384	-0.023540031	-0.024330687	-0.02389887	-0.023880074	-0.024068177	-0.023850832	-0.018990213	-0.023114135	-0.02268553	-0.02313629	-0.023143038	-0.022952776	-0.022676997	-0.023048088	-0.023203025	-0.02318509	-0.023343386	-0.022802418	-0.02306385	-0.022936605	-0.022774268	-0.023097394	-0.023347173	-0.023158975	-0.023152752	-0.023289284	-0.023249315
9	0.16071429599999998	-0.027046528	-0.031995147	-0.032530226	-0.03461393	-0.033479363	-0.03164269	-0.031812068	-0.030618848	-0.030789776	-0.03169391	-0.0312468	-0.03239143	-0.03321593	-0.032506533	-0.03168891	-0.032919936	-0.03255249	-0.032311674	-0.03137275	-0.03153591	-0.03370425	-0.024720384	-0.031563148	-0.02995613	-0.030060837	-0.030084757	-0.03009497	-0.030312208	-0.029992698	-0.029971063	-0.030131906	-0.029725373	-0.030254284	-0.029637601	-0.029451633	-0.030104296	-0.029246364	-0.03094715	-0.029842928	-0.029183831	-0.030433984	-0.029590057	-0.023879603	-0.029371073	-0.02903697	-0.029293464	-0.02879909	-0.028451646	-0.028340288	-0.02815692	-0.029162575	-0.028487494	-0.028756801	-0.029198114	-0.028537456	-0.028731734	-0.028862044	-0.028337685	-0.029045343	-0.028233862	-0.028781824	-0.028308544	-0.028871069	-0.022402756	-0.026916271	-0.026869014	-0.026732076	-0.027352521	-0.027066648	-0.027080944	-0.026810557	-0.026717592	-0.026518205	-0.026694123	-0.027267355	-0.02703889	-0.0266412	-0.027179794	-0.026606284	-0.027506718	-0.026928334	-0.026943116	-0.02704565	-0.02694956	-0.021519631	-0.026053106	-0.025567163	-0.026012521	-0.026072633	-0.025902575	-0.02549621	-0.02583736	-0.026157305	-0.02602607	-0.026288956	-0.025669549	-0.026003033	-0.025830854	-0.025649363	-0.026007574	-0.026372159	-0.026108233	-0.025938643	-0.026197638	-0.026215985
