	r	regfccOh_020_000	regfccOh_020_001	regfccOh_020_002	regfccOh_020_003	regfccOh_020_004	regfccOh_020_005	regfccOh_020_006	regfccOh_020_007	regfccOh_020_008	regfccOh_020_009	regfccOh_020_010	regfccOh_020_011	regfccOh_020_012	regfccOh_020_013	regfccOh_020_014	regfccOh_020_015	regfccOh_020_016	regfccOh_020_017	regfccOh_020_018	regfccOh_020_019	regfccOh_020_020	regfccOh_030_000	regfccOh_030_001	regfccOh_030_002	regfccOh_030_003	regfccOh_030_004	regfccOh_030_005	regfccOh_030_006	regfccOh_030_007	regfccOh_030_008	regfccOh_030_009	regfccOh_030_010	regfccOh_030_011	regfccOh_030_012	regfccOh_030_013	regfccOh_030_014	regfccOh_030_015	regfccOh_030_016	regfccOh_030_017	regfccOh_030_018	regfccOh_030_019	regfccOh_030_020	regfccOh_040_000	regfccOh_040_001	regfccOh_040_002	regfccOh_040_003	regfccOh_040_004	regfccOh_040_005	regfccOh_040_006	regfccOh_040_007	regfccOh_040_008	regfccOh_040_009	regfccOh_040_010	regfccOh_040_011	regfccOh_040_012	regfccOh_040_013	regfccOh_040_014	regfccOh_040_015	regfccOh_040_016	regfccOh_040_017	regfccOh_040_018	regfccOh_040_019	regfccOh_040_020	regfccOh_050_000	regfccOh_050_001	regfccOh_050_002	regfccOh_050_003	regfccOh_050_004	regfccOh_050_005	regfccOh_050_006	regfccOh_050_007	regfccOh_050_008	regfccOh_050_009	regfccOh_050_010	regfccOh_050_011	regfccOh_050_012	regfccOh_050_013	regfccOh_050_014	regfccOh_050_015	regfccOh_050_016	regfccOh_050_017	regfccOh_050_018	regfccOh_050_019	regfccOh_050_020	regfccOh_060_000	regfccOh_060_001	regfccOh_060_002	regfccOh_060_003	regfccOh_060_004	regfccOh_060_005	regfccOh_060_006	regfccOh_060_007	regfccOh_060_008	regfccOh_060_009	regfccOh_060_010	regfccOh_060_011	regfccOh_060_012	regfccOh_060_013	regfccOh_060_014	regfccOh_060_015	regfccOh_060_016	regfccOh_060_017	regfccOh_060_018	regfccOh_060_019	regfccOh_060_020
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.017857144	-0.0028681366	-0.0054321997	-0.0049754586	-0.0049644005	-0.0051675276	-0.004714011	-0.005249959	-0.0051314756	-0.0049551805	-0.00467292	-0.0051891822	-0.0042758575	-0.0041857325	-0.0047537773	-0.004780581	-0.0050834473	-0.0050169374	-0.005417149	-0.004597365	-0.004522373	-0.0048610033	-0.0021770466	-0.0042979945	-0.003258588	-0.0032192254	-0.0035466147	-0.0033692708	-0.0032403788	-0.0036249827	-0.0042486754	-0.0037342145	-0.0038740674	-0.0032063925	-0.0035135995	-0.0034262158	-0.003414245	-0.0042180307	-0.0035315815	-0.003558551	-0.0031062004	-0.0037038564	-0.0030729016	-0.0018231333	-0.0031504242	-0.0031441278	-0.0030202614	-0.003205923	-0.003476519	-0.0033087374	-0.0033035337	-0.003341004	-0.003223856	-0.0033423745	-0.003077978	-0.0035192552	-0.0032575685	-0.0033126115	-0.0029608493	-0.0033334778	-0.0032109052	-0.0031125548	-0.0029708834	-0.003421911	-0.0016143558	-0.0028179102	-0.002959576	-0.0031879945	-0.0032414517	-0.003066896	-0.0031916755	-0.003103503	-0.0031381696	-0.0032763553	-0.0029933695	-0.0032423607	-0.00317851	-0.0029152583	-0.003017883	-0.0030587257	-0.0032124035	-0.003051214	-0.0029814667	-0.0032212606	-0.0032714494	-0.0014020925	-0.0027840554	-0.002769745	-0.0029128904	-0.0028875933	-0.002952136	-0.0030122546	-0.0028328774	-0.0026563439	-0.002822773	-0.002832499	-0.0029845387	-0.0028658719	-0.0028108442	-0.0030023132	-0.0027888014	-0.0026717547	-0.0029564465	-0.002622112	-0.0029930419	-0.0029941576
2	0.035714288	-0.008535991	-0.010191597	-0.010592763	-0.010854747	-0.0112163555	-0.010432912	-0.009903316	-0.009650794	-0.009349995	-0.010498148	-0.010505602	-0.01052375	-0.008805408	-0.010474192	-0.010938776	-0.0094089685	-0.009990302	-0.010789584	-0.009783722	-0.009699635	-0.01067097	-0.0055877403	-0.0073539815	-0.0067607844	-0.006821845	-0.0069022407	-0.006946569	-0.006987479	-0.0072691594	-0.0076491535	-0.0074495035	-0.007703405	-0.0068335137	-0.007195475	-0.0067514637	-0.006762954	-0.0076235826	-0.007057126	-0.007243164	-0.0068279086	-0.0071463357	-0.00676035	-0.005309854	-0.00673942	-0.0066533624	-0.006365228	-0.006664239	-0.0070237704	-0.006771976	-0.006626096	-0.00672618	-0.00657408	-0.0067712814	-0.0065268306	-0.0066846316	-0.0067035924	-0.0067841434	-0.0065217935	-0.0066198185	-0.0067538735	-0.0066162385	-0.0065194983	-0.006663907	-0.005058367	-0.0061681285	-0.006222748	-0.0065216618	-0.0065316246	-0.0063459864	-0.006467926	-0.0065183174	-0.0064773476	-0.0066435453	-0.006389742	-0.0065936954	-0.006479352	-0.0061685056	-0.00625133	-0.0063690995	-0.0064221327	-0.006355431	-0.006417838	-0.0065642297	-0.006522092	-0.0046550133	-0.005901236	-0.0058752983	-0.0059673106	-0.0059977314	-0.0060277954	-0.006132405	-0.005870153	-0.0058373027	-0.0058312723	-0.006040086	-0.006035156	-0.0060120844	-0.0059337304	-0.0060566957	-0.0059219934	-0.005913882	-0.006047373	-0.005789546	-0.006075348	-0.006062719
3	0.053571431999999995	-0.014578189	-0.014845565	-0.016329164	-0.016889062	-0.017353738	-0.016293693	-0.014470248	-0.014074376	-0.013673528	-0.016455473	-0.015828328	-0.017029861	-0.013466502	-0.016322047	-0.017274555	-0.013632331	-0.014951337	-0.016153524	-0.015023277	-0.014921659	-0.01661166	-0.009120074	-0.010254046	-0.0102886995	-0.010475409	-0.010225267	-0.010537136	-0.010800626	-0.010909006	-0.010941313	-0.011148095	-0.011511748	-0.010487396	-0.010885057	-0.010050911	-0.010107561	-0.01092256	-0.010582764	-0.010940804	-0.010641081	-0.010545477	-0.010519988	-0.009001809	-0.010383838	-0.0102071995	-0.009736537	-0.01015507	-0.010572425	-0.010257286	-0.009938969	-0.0101061165	-0.009941163	-0.010197424	-0.010013984	-0.009790422	-0.01016331	-0.010266663	-0.010162707	-0.009897618	-0.010337807	-0.010162933	-0.010138987	-0.009872307	-0.008759085	-0.009595	-0.0095273955	-0.00987247	-0.0098281475	-0.009651771	-0.009760601	-0.009975527	-0.009845067	-0.010019917	-0.009846461	-0.009962527	-0.009796849	-0.009465122	-0.009514189	-0.009706872	-0.009634421	-0.009693869	-0.009907323	-0.009913792	-0.009762073	-0.00818636	-0.009064957	-0.009022782	-0.009054444	-0.009143262	-0.009125419	-0.009268779	-0.008940715	-0.009096353	-0.008870893	-0.0092988275	-0.009095978	-0.009203161	-0.009100109	-0.009113564	-0.009107461	-0.009241626	-0.00915979	-0.009028215	-0.009172726	-0.009143916
4	0.071428576	-0.017852869	-0.020145878	-0.021429222	-0.022003533	-0.022602791	-0.021154013	-0.019610206	-0.019085571	-0.018537542	-0.021260357	-0.021009501	-0.021580312	-0.017685086	-0.021204783	-0.022237945	-0.01859007	-0.019941539	-0.021548014	-0.01966509	-0.01947601	-0.021605825	-0.011422825	-0.014375541	-0.013571114	-0.013747939	-0.013731129	-0.013915777	-0.014111164	-0.014523879	-0.01506554	-0.014858029	-0.015355989	-0.013716101	-0.014401129	-0.013443322	-0.013514758	-0.015018281	-0.014111045	-0.014510137	-0.013847539	-0.014196041	-0.013668721	-0.011049318	-0.013593364	-0.013398093	-0.012780672	-0.013394469	-0.014046249	-0.013588262	-0.013226669	-0.01343668	-0.013181442	-0.013531539	-0.013130414	-0.0132384645	-0.013431793	-0.013586866	-0.013210112	-0.013218446	-0.013591156	-0.013319641	-0.013185425	-0.013252409	-0.01066124	-0.012498178	-0.012532331	-0.013077529	-0.013075451	-0.01274693	-0.012970042	-0.013125217	-0.013014058	-0.013304478	-0.012906815	-0.013223382	-0.012992418	-0.0124271	-0.012563737	-0.01279391	-0.012848758	-0.012782111	-0.012945774	-0.013139309	-0.013018798	-0.009904927	-0.011901675	-0.011838863	-0.012006072	-0.012071264	-0.012102998	-0.012299388	-0.011811888	-0.011841436	-0.011729388	-0.012188845	-0.012092101	-0.012120328	-0.011959737	-0.012117736	-0.011955883	-0.012010839	-0.012140745	-0.011729972	-0.012183203	-0.012152735
5	0.08928571999999999	-0.020359019	-0.02562813	-0.026264604	-0.026802482	-0.027644634	-0.025703864	-0.024895012	-0.02426084	-0.023518058	-0.02577343	-0.026149195	-0.025588213	-0.021796837	-0.025805399	-0.026817689	-0.023725593	-0.024929073	-0.026930263	-0.024174107	-0.023913687	-0.026310802	-0.01347529	-0.018798996	-0.016794201	-0.01691108	-0.017293835	-0.017259855	-0.01728238	-0.018138748	-0.019396685	-0.01859238	-0.019232657	-0.016882952	-0.017893203	-0.01687903	-0.016922696	-0.01931767	-0.017631177	-0.018045299	-0.016864698	-0.017924575	-0.01666596	-0.0126831755	-0.016686656	-0.016494142	-0.015765911	-0.016563104	-0.017510572	-0.016869146	-0.016526967	-0.016770942	-0.016382355	-0.016864335	-0.016164377	-0.016798498	-0.016666574	-0.016878482	-0.016092472	-0.016550126	-0.016756786	-0.016384479	-0.016084699	-0.016693035	-0.012051138	-0.015246097	-0.01545187	-0.016245069	-0.016307091	-0.015785769	-0.016143749	-0.01618728	-0.016123068	-0.016567461	-0.015844211	-0.016446238	-0.016151601	-0.015299898	-0.015551777	-0.015823102	-0.016055148	-0.015799237	-0.015875155	-0.016347896	-0.016293248	-0.011071247	-0.014646141	-0.014571614	-0.0148932105	-0.014929294	-0.01503731	-0.015297927	-0.01461722	-0.014431638	-0.014526449	-0.014977599	-0.015068058	-0.014948635	-0.014733243	-0.0151168555	-0.014700859	-0.014610385	-0.015079302	-0.014290316	-0.015163993	-0.015136808
6	0.10714286399999999	-0.025520526	-0.030461451	-0.03166727	-0.032448992	-0.033527315	-0.03118818	-0.029599853	-0.028845001	-0.02794698	-0.031381436	-0.031401444	-0.031460535	-0.026319826	-0.031310566	-0.03269916	-0.028122663	-0.029861573	-0.032251496	-0.029244954	-0.028991275	-0.031898584	-0.016736146	-0.022025581	-0.020250784	-0.020434747	-0.020674368	-0.020807676	-0.020932209	-0.021773271	-0.022911	-0.02231376	-0.023073545	-0.020468535	-0.021552583	-0.02022238	-0.020258501	-0.022834707	-0.021139694	-0.02169685	-0.020455183	-0.021405645	-0.02025164	-0.015913405	-0.020195121	-0.019936454	-0.019071452	-0.019968757	-0.021044653	-0.020291274	-0.019852143	-0.020151798	-0.01969903	-0.020287177	-0.01955648	-0.020027095	-0.020085674	-0.020326069	-0.01954294	-0.019834504	-0.020237634	-0.019824656	-0.019535441	-0.019966057	-0.0151725635	-0.018494394	-0.01865695	-0.019551426	-0.019582525	-0.019025711	-0.019391175	-0.019542104	-0.019419976	-0.01991725	-0.019158237	-0.019768085	-0.019425705	-0.018494712	-0.018742278	-0.019094722	-0.019253947	-0.019054431	-0.019241102	-0.019678315	-0.01955241	-0.013975234	-0.017705943	-0.017627282	-0.01790441	-0.017995115	-0.018085025	-0.018398467	-0.017612305	-0.017515041	-0.017495634	-0.018122584	-0.018106315	-0.018038495	-0.017803052	-0.018170225	-0.017768627	-0.017745364	-0.018143648	-0.017371293	-0.018227497	-0.018189386
7	0.125000008	-0.031789355	-0.03498366	-0.037417147	-0.03851797	-0.0396734	-0.03709073	-0.03404981	-0.0331467	-0.032165214	-0.037380945	-0.03667375	-0.03809551	-0.030966857	-0.037192132	-0.03910696	-0.032217573	-0.03475747	-0.037546545	-0.034474432	-0.034205716	-0.03787184	-0.020363675	-0.024790231	-0.023784546	-0.024108758	-0.023959015	-0.024395779	-0.024777044	-0.02539619	-0.026105003	-0.025987074	-0.026854508	-0.024136737	-0.02523672	-0.023490375	-0.023580711	-0.026035825	-0.024648258	-0.025386507	-0.024313802	-0.02475946	-0.024051605	-0.019751761	-0.023866406	-0.023509858	-0.022457082	-0.023469614	-0.024583556	-0.023777472	-0.023150373	-0.023518004	-0.023064332	-0.023703292	-0.02306243	-0.023080794	-0.023545897	-0.023807254	-0.023228962	-0.023093155	-0.023839442	-0.023392187	-0.023195796	-0.023140583	-0.019049494	-0.021967635	-0.021983463	-0.022908453	-0.022876007	-0.022344297	-0.02268565	-0.02302104	-0.022800615	-0.023294175	-0.02264926	-0.02314061	-0.022748986	-0.021817539	-0.022019032	-0.022447664	-0.022459172	-0.022409985	-0.022764161	-0.023029547	-0.022780987	-0.017696375	-0.020902587	-0.020807238	-0.021010347	-0.021164592	-0.02119684	-0.021547038	-0.020704584	-0.020827886	-0.020555928	-0.021417994	-0.021174736	-0.021259977	-0.021000998	-0.021232044	-0.020989494	-0.021131516	-0.021270975	-0.020662492	-0.021335091	-0.021278653
8	0.142857152	-0.03549876	-0.040076014	-0.042615373	-0.04375728	-0.044957355	-0.0420716	-0.039009683	-0.03796635	-0.036875788	-0.042284906	-0.041791	-0.04291469	-0.03517728	-0.042173367	-0.044228718	-0.036980785	-0.03966525	-0.04285993	-0.039115556	-0.0387423	-0.042969402	-0.02279547	-0.028690245	-0.027079228	-0.027428668	-0.027401289	-0.027768549	-0.02815521	-0.028982496	-0.030067798	-0.029650511	-0.030644964	-0.02737296	-0.028738013	-0.026826654	-0.026965974	-0.029971918	-0.028157834	-0.028952884	-0.02762467	-0.028330939	-0.027273636	-0.022049576	-0.027132398	-0.026742399	-0.025514284	-0.026735252	-0.028040208	-0.02712205	-0.026405098	-0.026821887	-0.026311236	-0.027012523	-0.026209941	-0.02643067	-0.026812723	-0.027122004	-0.02636552	-0.026385983	-0.027129574	-0.02658686	-0.026317794	-0.026457638	-0.02128611	-0.024965607	-0.025035577	-0.026126413	-0.026123954	-0.025466219	-0.02591001	-0.026218131	-0.025999714	-0.026581457	-0.025782917	-0.026416918	-0.025958221	-0.02482801	-0.025099713	-0.025560614	-0.025670035	-0.02553545	-0.025861926	-0.026251962	-0.026012896	-0.019791804	-0.023801852	-0.023677485	-0.024009742	-0.024141522	-0.024205623	-0.024599921	-0.023621818	-0.023678826	-0.023457844	-0.024376178	-0.024184993	-0.024238957	-0.023918686	-0.024237756	-0.023909353	-0.024017025	-0.024281586	-0.023457984	-0.024366803	-0.024305623
9	0.16071429599999998	-0.037702553	-0.045521967	-0.047304373	-0.048384707	-0.049830902	-0.046446078	-0.04425023	-0.04310474	-0.04181282	-0.046614707	-0.046822987	-0.04667244	-0.039174248	-0.046602264	-0.04859576	-0.042091187	-0.04456686	-0.048150167	-0.043492623	-0.043040182	-0.047502156	-0.024723526	-0.033182643	-0.030254839	-0.030534673	-0.030953355	-0.031070676	-0.031260833	-0.0325656	-0.0344351	-0.033358365	-0.03449404	-0.030480804	-0.03218754	-0.030245136	-0.030355083	-0.034307435	-0.031651508	-0.032452937	-0.03056893	-0.032052364	-0.030196961	-0.023533547	-0.030171415	-0.029789327	-0.028450275	-0.029862577	-0.031475585	-0.030369753	-0.029679699	-0.03012995	-0.029482055	-0.030314714	-0.029193442	-0.029995538	-0.030010805	-0.030377058	-0.02917929	-0.029699365	-0.030246872	-0.02960012	-0.029150259	-0.029889734	-0.022526097	-0.027662463	-0.027922237	-0.029270172	-0.02934178	-0.02847816	-0.02906669	-0.029245565	-0.029082458	-0.02982587	-0.02867828	-0.029620225	-0.029095883	-0.027663572	-0.028060848	-0.028559228	-0.028866678	-0.028522752	-0.028745605	-0.029438315	-0.029276801	-0.020818919	-0.026522286	-0.02638371	-0.026887052	-0.026983267	-0.027131295	-0.027590135	-0.02641264	-0.026229836	-0.02624121	-0.027137337	-0.027156003	-0.02704624	-0.026668156	-0.027231118	-0.026629549	-0.026574574	-0.027210081	-0.025977423	-0.027341308	-0.027285354
