r(Å)	g(r)
5.42	0.20647789088355784
5.43	0.21313340654561752
5.44	0.22068152060917479
5.45	0.22907154345097724
5.46	0.2382951470641107
5.47	0.24832729896360528
5.48	0.25913109049943517
5.49	0.2707138536113666
5.5	0.2828847412234483
5.51	0.29553185620007205
5.52	0.3085242737572693
5.53	0.3217156033634594
5.54	0.33493867538583344
5.55	0.3479935784879862
5.56	0.3607018264205728
5.57	0.37288803064448917
5.58	0.38438098434577184
5.59	0.39498633883827294
5.6	0.40446104176034636
5.61	0.41276186100407475
5.62	0.4197762810560246
5.63	0.42541294698603827
5.64	0.4296021942087126
5.65	0.43213354378729274
5.66	0.4331056153620152
5.67	0.43256210231647874
5.68	0.4305288201965416
5.69	0.4270489423571767
5.7	0.4221147064985816
5.71	0.41576989348637494
5.72	0.4082180686686052
5.73	0.39955287417881147
5.74	0.3898729384697216
5.75	0.37927854933804117
5.76	0.36777189724389725
5.77	0.3555641130058318
5.78	0.34275146959860303
5.79	0.3294197921200861
5.8	0.3156486867518955
5.81	0.30148659475491935
5.82	0.2870143437653838
5.83	0.27231704157480663
5.84	0.25744997739155306
5.85	0.24246554956470556
5.86	0.22741253078383894
5.87	0.21234021147314874
5.88	0.19731130827234566
5.89	0.1823780372762046
5.9	0.16759477497783104
5.91	0.153019637350868
5.92	0.13874132970182085
5.93	0.12482498911623019
5.94	0.11133031914221314
5.95	0.09832999492356942
5.96	0.0858980141048209
5.97	0.07413295354063953
5.98	0.06316475499925867
5.99	0.053002264269387145
6.0	0.043712034413338485
6.01	0.0353572583936439
6.02	0.02798928404686507
6.03	0.02177765473095239
6.04	0.016671973894413994
6.05	0.012673448354386663
6.06	0.009801080645959748
6.07	0.008064860926359385
6.08	0.007521294542377821
6.09	0.008186654794646642
6.1	0.00995551068444267
6.11	0.012800375094188854
6.12	0.016691736934314583
6.13	0.021595877606381597
6.14	0.02760669301514218
6.15	0.03455432145444437
6.16	0.04239917476579147
6.17	0.051107385910910685
6.18	0.06064487062045254
6.19	0.071038769065637
6.2	0.0822401316305772
6.21	0.09416905147621668
6.22	0.10679361949405919
6.23	0.1200799667314737
6.24	0.134002654156837
6.25	0.14857481448656817
6.26	0.16366773979445626
6.27	0.1792212973077454
6.28	0.19516435554589961
6.29	0.2114146573424499
6.3	0.22789153815201124
6.31	0.24445363289340794
6.32	0.26096476036389415
6.33	0.2772862123701727
6.34	0.29326752045285764
6.35	0.3087242483395515
6.36	0.3234240305382786
6.37	0.3372387485873183
6.38	0.34999331457429905
6.39	0.3615147918767818
6.4	0.3716370142639327
6.41	0.3800113885393438
6.42	0.38662865043136696
6.43	0.3914021992668557
6.44	0.3942386427786442
6.45	0.3950704677322352
6.46	0.3937393482298648
6.47	0.3902023725738748
6.48	0.38465019827991864
6.49	0.3771492896480614
6.5	0.3677970316455912
6.51	0.3567200422835004
6.52	0.343885305997519
6.53	0.32971189278155166
6.54	0.3144082413864705
6.55	0.2981990189468543
6.56	0.28131944653369634
6.57	0.26399346014968283
6.58	0.24651289002780052
6.59	0.229138059759731
6.6	0.21209342738719572
6.61	0.19558764745793633
6.62	0.1798280526641114
6.63	0.16508018244488254
6.64	0.1513928867054568
6.65	0.1388686666485811
6.66	0.12758065333695812
6.67	0.1175714125075229
6.68	0.10897935486246513
6.69	0.10170479372642882
6.7	0.09565568265273061
6.71	0.0907644414647274
6.72	0.08694522821385797
6.73	0.08413355177958282
6.74	0.08224569466015308
6.75	0.08107695905516721
6.76	0.08051044191790391
6.77	0.08043271981755207
6.78	0.08073680696851238
6.79	0.0813499145872082
6.8	0.08215129012747402
6.81	0.08307079549765062
6.82	0.08405828084339295
6.83	0.08507968654720188
6.84	0.08611672844190388
6.85	0.08716697954137209
6.86	0.08824119875443537
6.87	0.08936127184930531
6.88	0.09055660220265471
6.89	0.09186151166406686
6.9	0.09333611842103928
6.91	0.09499803584465083
6.92	0.09687607903624407
6.93	0.098992474750764
6.94	0.10135941098090251
6.95	0.10400006627483316
6.96	0.10689253171760926
6.97	0.10999702953377655
6.98	0.11327516919216996
6.99	0.11667720365657841
7.0	0.12014384445387716
7.01	0.12359690280121749
7.02	0.1269544089787763
7.03	0.1301390801359118
7.04	0.13307407254135206
7.05	0.13568584789007554
7.06	0.13786250670733968
7.07	0.1395664135155119
7.08	0.14076852678270624
7.09	0.141441680773832
7.1	0.14157462846320634
7.11	0.14115106473967876
7.12	0.14017939993116502
7.13	0.13875557289583484
7.14	0.13694551921028641
7.15	0.1348312154715614
7.16	0.13250924878781967
7.17	0.13009033870560782
7.18	0.12772046371933665
7.19	0.12552809649000163
7.2	0.12364380559517518
7.21	0.12219837049773741
7.22	0.12136406080291762
7.23	0.12128645159907891
7.24	0.12203431367532303
7.25	0.12370524317870757
7.26	0.12638366677128787
7.27	0.13014723940522577
7.28	0.1351900828092959
7.29	0.14140222853553963
7.3	0.14879679569279414
7.31	0.15736967396736534
7.32	0.1671009309818935
7.33	0.17804904819845235
7.34	0.19011427765271116
7.35	0.20317461783838298
7.36	0.21715460565186318
7.37	0.23197017719843793
7.38	0.247549229594065
7.39	0.26383428474264903
7.4	0.28064060233662713
7.41	0.2978634277951805
7.42	0.3153949361480397
7.43	0.33312679385392185
7.44	0.3509519748903417
7.45	0.3687341589412716
7.46	0.38635890804602224
7.47	0.40371149434630516
7.48	0.4206812291726022
7.49	0.43712380413842544
7.5	0.45288129514857245
7.51	0.46787742919094555
7.52	0.48199329765442733
7.53	0.49510883258542315
7.54	0.5071028143758074
7.55	0.5176903295291737
7.56	0.5268805315448437
7.57	0.5345756329931783
7.58	0.5406659081366264
7.59	0.5450546474528325
7.6	0.5475267582261699
7.61	0.5479994195529132
7.62	0.5465336033867662
7.63	0.5430909801805344
7.64	0.5376528384949196
7.65	0.5301988018271269
7.66	0.5205342996093181
7.67	0.5089616209566372
7.68	0.49556022129759947
7.69	0.48043194143192247
7.7	0.46370086217097517
7.71	0.4453959641644081
7.72	0.4257731784781912
7.73	0.4050871118372473
7.74	0.38354052519229853
7.75	0.36134035349242066
7.76	0.338694550529981
7.77	0.31583551414437594
7.78	0.29302339603654304
7.79	0.27046559457146524
7.8	0.24835858918563336
7.81	0.22688438401818423
7.82	0.2063045905202907
7.83	0.18671602929895414
7.84	0.16821322079133272
7.85	0.1508862008788251
7.86	0.13480004546544788
7.87	0.12005963296086286
7.88	0.10671945467117028
7.89	0.09466052353971344
7.9	0.08384725050113873
7.91	0.07422564234355011
7.92	0.06572580183462273
7.93	0.058386006534593915
7.94	0.051977672930643704
7.95	0.046397373543761056
7.96	0.0415454197287074
7.97	0.03732465372703331
7.98	0.03367423300900263
7.99	0.030491084699510895
8.0	0.027670459778179946
8.01	0.02515173964784212
8.02	0.02288604281005957
8.03	0.020841022294264766
8.04	0.019012001397468947
8.05	0.017367186574972715
8.06	0.015910080026572015
8.07	0.014652522415083635
8.08	0.013613639810533207
8.09	0.012841970173333439
8.1	0.012356341762444933
8.11	0.012172330435429535
8.12	0.012313573604318062
8.13	0.012798615907578359
8.14	0.013652869388506628
8.15	0.014904268992489533
8.16	0.016509545334503772
8.17	0.0184527124870415
8.18	0.020708300305174565
8.19	0.02324157699539986
8.2	0.026032453278719725
8.21	0.02900278742280149
8.22	0.032092373090424786
8.23	0.035243754583408116
8.24	0.03839942778832062
8.25	0.041498080658610714
8.26	0.04447804498021635
8.27	0.04729996591151442
8.28	0.049929402196749906
8.29	0.05234135160676934
8.3	0.05452214390097887
8.31	0.05644113422503261
8.32	0.058141902347204844
8.33	0.05965049546715495
8.34	0.061003346757686816
8.35	0.062246890148633716
8.36	0.06343588732236982
8.37	0.06464223991816309
8.38	0.0659330002241798
8.39	0.06737313269631018
8.4	0.06902552638574211
8.41	0.07095421447873651
8.42	0.07324855311086464
8.43	0.07591332517115768
8.44	0.07897454296689821
8.45	0.08244484880217395
8.46	0.08632247811078775
8.47	0.09062525923192621
8.48	0.09529030500652769
8.49	0.100250576801997
8.5	0.1054399861202675
8.51	0.11078088528486474
8.52	0.11618429356612447
8.53	0.1215369057942175
8.54	0.12673044188655047
8.55	0.13166052909486425
8.56	0.1362238905470926
8.57	0.1403213366789745
8.58	0.14378694473442433
8.59	0.14658257740785108
8.6	0.14865177035630972
8.61	0.14994145426813954
8.62	0.1504142949856554
8.63	0.15000047054214527
8.64	0.1486838654209921
8.65	0.14654837742721383
8.66	0.14363001898996397
8.67	0.13998081371457372
8.68	0.1356665289458826
8.69	0.13069939808175213
8.7	0.12525918468586927
8.71	0.11944593746497068
8.72	0.11336442727887419
8.73	0.1071220036913676
8.74	0.1008294134662927
8.75	0.09460970521887768
8.76	0.08856422796643115
8.77	0.08278451881581961
8.78	0.07735292716836228
8.79	0.07235219483153421
8.8	0.06789411213362828
8.81	0.0639763770673718
8.82	0.060632172189478584
8.83	0.05788292207917356
8.84	0.055738054723143526
8.85	0.05425419558104838
8.86	0.053378576073893735
8.87	0.053066115739906494
8.88	0.053285757591364336
8.89	0.05399960611180221
8.9	0.05518205860994163
8.91	0.05679930247934639
8.92	0.05876007279700901
8.93	0.06101232614833163
8.94	0.06350410113157501
8.95	0.06618351789968713
8.96	0.0690100664437383
8.97	0.07191394906312654
8.98	0.07484505235588557
8.99	0.07775738627371998
9.0	0.08060753276945687
9.01	0.08334482740284976
9.02	0.08592164130678659
9.03	0.08830882207496016
9.04	0.09047175188446199
9.05	0.09237813267479944
9.06	0.09399666342005752
9.07	0.09525788427501325
9.08	0.09617631276862748
9.09	0.09673240348166168
9.1	0.0969105946013138
9.11	0.09669984860244085
9.12	0.09606152359126263
9.13	0.09500778330688509
9.14	0.09356705754855033
9.15	0.09175344334594848
9.16	0.08958786654906326
9.17	0.08709097495933116
9.18	0.08427866645392446
9.19	0.08123001582528455
9.2	0.07799481427475818
9.21	0.07462832267384767
9.22	0.07119041839079054
9.23	0.06774998291132772
9.24	0.0643829994814481
9.25	0.06115673941725497
9.26	0.0581368726938164
9.27	0.05538674916708952
9.28	0.05298281566122287
9.29	0.05100307706031193
9.3	0.0494616867261517
9.31	0.04839388648827703
9.32	0.04782536126586556
9.33	0.04777127845142248
9.34	0.0482978555113307
9.35	0.04933746198605926
9.36	0.05086079466899385
9.37	0.052834789335332366
9.38	0.05521573949566627
9.39	0.05797032214635922
9.4	0.061027192791004325
9.41	0.06429338246854699
9.42	0.06769568742051735
9.43	0.07115876886177408
9.44	0.07460583574562885
9.45	0.07794234047143767
9.46	0.08110115055373746
9.47	0.08401732537617579
9.48	0.08663271386583538
9.49	0.08889724034812208
9.5	0.09073398226668627
9.51	0.09212316451143598
9.52	0.09306648612284107
9.53	0.09355743120987003
9.54	0.0935992654382557
9.55	0.093193687411122
9.56	0.09233505300022138
9.57	0.09110271792202418
9.58	0.08953572636020524
9.59	0.08767914731068316
9.6	0.08558165500703774
9.61	0.08327937153468301
9.62	0.0808466808569076
9.63	0.07834048852987541
9.64	0.07581079080582787
9.65	0.07330444186954543
9.66	0.07086947007485556
9.67	0.06855370511500636
9.68	0.06638301709756111
9.69	0.06438379564586005
9.7	0.06257700352569484
9.71	0.06097820042327118
9.72	0.05962576427816735
9.73	0.05849995337185532
9.74	0.057599255392620896
9.75	0.05692059015106499
9.76	0.056458029783102104
9.77	0.0562169345764163
9.78	0.05618495078055352
9.79	0.056337142934337336
9.8	0.05666148795230441
9.81	0.057145629464118164
9.82	0.05777858040332262
9.83	0.05856121009664483
9.84	0.05946293746647546
9.85	0.06047093486845723
9.86	0.06157209570411837
9.87	0.06275281994422888
9.88	0.0640034529021194
9.89	0.06530348356143967
9.9	0.06663351909771054
9.91	0.06797613658837187
9.92	0.06931280060481104
9.93	0.07062312183990427
9.94	0.07188127099663699
9.95	0.07307006167447383
9.96	0.07417034543702561
9.97	0.0751644033668043
9.98	0.07603620916942833
9.99	0.07675670594246664
10.0	0.07732716228613179
10.01	0.07774722500311115
10.02	0.07801829203159705
10.03	0.07814767195776284
10.04	0.07814358453696846
10.05	0.0780270992340979
10.06	0.07783783587136894
10.07	0.07761083736639451
10.08	0.0773875634165383
10.09	0.07721412112304582
10.1	0.07716100405723425
10.11	0.07727574966673667
10.12	0.07761263722157441
10.13	0.07822653046198935
10.14	0.0791692836952338
10.15	0.08051951944440183
10.16	0.08232117130962235
10.17	0.08458126756124995
10.18	0.0873205865937865
10.19	0.0905491050436823
10.2	0.09427028172882201
10.21	0.09851358344383854
10.22	0.10318458347886317
10.23	0.10823378312077159
10.24	0.11359791661255725
10.25	0.1192004130300206
10.26	0.12495803338280487
10.27	0.13074754850147696
10.28	0.1364528993799602
10.29	0.14195913348315936
10.3	0.1471480785288667
10.31	0.15188161470967665
10.32	0.15599131685762413
10.33	0.1594132028177866
10.34	0.16204727890704396
10.35	0.16380488328601306
10.36	0.16461071409179173
10.37	0.16428584925100076
10.38	0.1628769574393505
10.39	0.1603876934837607
10.4	0.15681819691675158
10.41	0.15218700301301036
10.42	0.14647737179473563
10.43	0.13973288258583427
10.44	0.13211088355867528
10.45	0.1237012699549015
10.46	0.11460558392603648
10.47	0.10493464035499034
10.48	0.09475855249663612
10.49	0.08427367244980033
10.5	0.07360303528497725
10.51	0.06286574322094973
10.52	0.05217595874444858
10.53	0.04165809212559535
10.54	0.031421251707990594
10.55	0.02153854372408104
10.56	0.012079042794087225
10.57	0.003098369325363781
10.58	-0.00535243875763769
10.59	-0.013191208398399712
10.6	-0.02046724977315517
10.61	-0.027182402549547957
10.62	-0.033349293561316884
10.63	-0.0389897636291906
10.64	-0.044089574244852825
10.65	-0.04871647110157562
10.66	-0.05292807766980889
10.67	-0.05676372699600474
10.68	-0.06026159459553704
10.69	-0.06344697118196829
10.7	-0.06633950715621606
10.71	-0.06899063786528536
10.72	-0.07141663297760814
10.73	-0.07362678868434513
10.74	-0.07562283231149458
10.75	-0.07737236132592173
10.76	-0.07888056945623179
10.77	-0.08013084271503346
10.78	-0.08109787142993163
10.79	-0.08175244010885474
10.8	-0.08204159141606071
10.81	-0.08192192355186023
10.82	-0.08138995670872384
10.83	-0.08041918643453827
10.84	-0.07898718727655951
10.85	-0.07707696125677477
10.86	-0.07461407625830074
10.87	-0.07166370334446326
10.88	-0.06823549015631047
10.89	-0.0643473462493257
10.9	-0.06002614755875635
10.91	-0.055278893261695106
10.92	-0.05016640322256205
10.93	-0.04476309416009305
10.94	-0.03912671514149113
10.95	-0.03331948445589561
10.96	-0.027405854325654122
10.97	-0.021458032926535475
10.98	-0.015554475158836456
10.99	-0.009760342685366852
11.0	-0.004137985571342817
11.01	0.0012543923502829069
11.02	0.006331923850196541
11.03	0.011059654026743138
11.04	0.015409546622346615
11.05	0.01935072550939676
11.06	0.022859681497782836
11.07	0.02590118527432339
11.08	0.02844278813792378
11.09	0.03052559723018189
11.1	0.032154863285071444
11.11	0.03334164478028201
11.12	0.03410108391036071
11.13	0.0344058587588425
11.14	0.03432281049047625
11.15	0.033882496426045905
11.16	0.03310956380431351
11.17	0.03202953748749027
11.18	0.030650963000601328
11.19	0.028999348749969567
11.2	0.02711793318854605
11.21	0.025027904822103708
11.22	0.02274929482378052
11.23	0.020299781271569617
11.24	0.01767928158259957
11.25	0.014925798714209182
11.26	0.012054635649755174
11.27	0.009080682055517042
11.28	0.006018679143051986
11.29	0.002878382467263463
11.3	-0.00031985308516058186
11.31	-0.0035557207751972797
11.32	-0.006812047440547531
11.33	-0.01007105397805752
11.34	-0.013312871432564322
11.35	-0.01651271036114743
11.36	-0.019651685759989435
11.37	-0.022709555716285523
