r(Å)	g(r)
1.71	0.0
1.72	0.0
1.73	0.0
1.74	0.0
1.75	0.0
1.76	0.0
1.77	0.0
1.78	0.0
1.79	0.0
1.8	0.0
1.81	0.0
1.82	0.0
1.83	0.0
1.84	0.0
1.85	0.0
1.86	0.0
1.87	0.0
1.88	0.0
1.89	0.0
1.9	0.0
1.91	-0.0002156093106900317
1.92	-0.0008425120594197995
1.93	-0.0018508204711788123
1.94	-0.0032106467709565796
1.95	-0.00489210318374261
1.96	-0.006865301934526412
1.97	-0.009100355248297495
1.98	-0.011567375350045369
1.99	-0.014236474464759544
2.0	-0.017077764817429522
2.01	-0.020061358633044753
2.02	-0.023157368136594948
2.03	-0.026335905553069337
2.04	-0.02956708310745771
2.05	-0.0328210130247493
2.06	-0.036067807529933896
2.07	-0.03927757884800071
2.08	-0.042420439203939564
2.09	-0.04546650082273965
2.1	-0.04838587592939078
2.11	-0.05114867674888219
2.12	-0.05372501550620363
2.13	-0.056085004426344384
2.14	-0.058198755734294186
2.15	-0.06003638165504234
2.16	-0.061567994413578506
2.17	-0.0627637062348921
2.18	-0.06359362934397268
2.19	-0.06402787596580976
2.2	-0.06403655832539282
2.21	-0.06358978864771136
2.22	-0.06265767915775489
2.23	-0.061210342080512986
2.24	-0.05921788964097505
2.25	-0.056650434064130756
2.26	-0.05347808757496947
2.27	-0.04967096239848062
2.28	-0.04519917075965402
2.29	-0.04003282488347876
2.3	-0.03414203699494489
2.31	-0.027496919319041302
2.32	-0.020067584080758094
2.33	-0.01182414350508415
2.34	-0.0027367098170097415
2.35	0.007224604758476527
2.36	0.01808968799638422
2.37	0.02988842767172467
2.38	0.04265071155950739
2.39	0.05640642743474422
2.4	0.07118546307244411
2.41	0.08470194841967632
2.42	0.09388901691405388
2.43	0.09812965832383197
2.44	0.0969833452882739
2.45	0.08954004434706686
2.46	0.07641596976949883
2.47	0.058024617823458025
2.48	0.03493976288693845
2.49	0.007992979896176644
2.5	-0.021839401902660538
2.51	-0.053009878225184215
2.52	-0.08373648584173132
2.53	-0.11228622367326069
2.54	-0.1368105545549153
2.55	-0.15535243051287406
2.56	-0.16470523919319258
2.57	-0.16377457509612248
2.58	-0.15077209528383906
2.59	-0.12404642392712817
2.6	-0.08217907190453533
2.61	-0.022533171424768295
2.62	0.05539494101494402
2.63	0.15113774347768505
2.64	0.26475636963555094
2.65	0.39592527219266416
2.66	0.5443278556179131
2.67	0.7101093868924314
2.68	0.8896931673955211
2.69	1.081118889107361
2.7	1.2821116355118536
2.71	1.490119535697929
2.72	1.7026654329870494
2.73	1.9159845385034047
2.74	2.1268296920646987
2.75	2.33211375953148
2.76	2.528799234454131
2.77	2.7133715234208924
2.78	2.882041573947737
2.79	3.0333223704367485
2.8	3.165064193609043
2.81	3.275450286878765
2.82	3.363048341183256
2.83	3.4238920005525673
2.84	3.4599021647983053
2.85	3.4713212962551294
2.86	3.4585110689905956
2.87	3.4222369341262597
2.88	3.362275019967154
2.89	3.2802804998228625
2.9	3.1797086902672973
2.91	3.0626836668621884
2.92	2.931508245011804
2.93	2.788555064801199
2.94	2.635467235930916
2.95	2.4763205489690208
2.96	2.313609397684753
2.97	2.1497219282223226
2.98	1.9869010914044178
2.99	1.8275357402784493
3.0	1.6736502152128976
3.01	1.5266326084475028
3.02	1.387727588797871
3.03	1.257905240857427
3.04	1.1381051400999946
3.05	1.0295419524704101
3.06	0.9313121931785562
3.07	0.8432678716733883
3.08	0.7650461758319205
3.09	0.6961122284625858
3.1	0.6365632085838643
3.11	0.5848723555921878
3.12	0.5399098394659543
3.13	0.5007546353127325
3.14	0.46648645610586614
3.15	0.43635164361872647
3.16	0.4095080909307537
3.17	0.38490347417478243
3.18	0.3619010895924444
3.19	0.339970933600523
3.2	0.3186987824798073
3.21	0.2977932117501849
3.22	0.27704473829404797
3.23	0.25640304790711743
3.24	0.23591127002182666
3.25	0.21568877153978638
3.26	0.19595522260858633
3.27	0.17697998442299967
3.28	0.15899171731992823
3.29	0.14224581585471774
3.3	0.12698313622317126
3.31	0.11343469771943027
3.32	0.10199244044383704
3.33	0.09255152978143133
3.34	0.08515132526776137
3.35	0.07976912265293046
3.36	0.07631786645086991
3.37	0.07478877066966128
3.38	0.0748655227072963
3.39	0.07620292081419455
3.4	0.0785030600927813
3.41	0.08144463689857717
3.42	0.08469709267531378
3.43	0.08788260982462681
