Chemical shift / ppm;Intensity / arb.unit.
-0.0999403615379307;-0.127164152821594
-0.0996301040143326;-0.126582609439788
-0.0993198464907345;-0.119991784445985
-0.0990095889671365;-0.10894246019167
-0.0986993314435384;-0.109524003573476
-0.0983890739199404;-0.115145589597602
-0.0980788163963423;-0.116502524155149
-0.0977685588727442;-0.113207111658248
-0.0974583013491462;-0.113400959452183
-0.0971480438255481;-0.119022545476309
-0.09683778630195;-0.112819416070377
-0.096527528778352;-0.105259352106898
-0.0962172712547539;-0.105840895488704
-0.0959070137311559;-0.106228591076575
-0.0955967562075578;-0.102933178579674
-0.0952864986839597;-0.0984746793191609
-0.0949762411603617;-0.0978931359373549
-0.0946659836367636;-0.107391677840187
-0.0943557261131656;-0.112819416070377
-0.0940454685895675;-0.11146248151283
-0.0937352110659694;-0.118634849888438
-0.0934249535423714;-0.126001066057982
-0.0931146960187733;-0.121930262385339
-0.0928044384951752;-0.120379480033856
-0.0924941809715772;-0.120379480033856
-0.0921839234479791;-0.112237872688571
-0.0918736659243811;-0.101576244022127
-0.091563408400783;-0.0986685271130963
-0.0912531508771849;-0.0951792668222599
-0.0909428933535869;-0.0959546579980013
-0.0906326358299888;-0.114951741803666
-0.0903223783063907;-0.140539650603133
-0.0900121207827927;-0.14984434471203
-0.0897018632591946;-0.142478128542487
-0.0893916057355966;-0.135693455754749
-0.0890813482119985;-0.13317343443359
-0.0887710906884004;-0.128714935173077
-0.0884608331648024;-0.129102630760947
-0.0881505756412043;-0.1277456962034
-0.0878403181176062;-0.119604088858115
-0.0875300605940082;-0.116696371949084
-0.0872198030704101;-0.117859458712697
-0.0869095455468121;-0.121736414591404
-0.086599288023214;-0.121930262385339
-0.0862890304996159;-0.11689021974302
-0.0859787729760179;-0.110687090337088
-0.0856685154524198;-0.106616286664446
-0.0853582579288218;-0.104096265343286
-0.0850480004052237;-0.105453199900834
-0.0847377428816256;-0.115533285185472
-0.0844274853580276;-0.124256435912563
-0.0841172278344295;-0.12231795797321
-0.0838069703108314;-0.116502524155149
-0.0834967127872334;-0.113594807246119
-0.0831864552636353;-0.105840895488704
-0.0828761977400373;-0.0947915712343892
-0.0825659402164392;-0.0978931359373549
-0.0822556826928411;-0.10060700505245
-0.0819454251692431;-0.0953731146161952
-0.081635167645645;-0.0878130506527163
-0.0813249101220469;-0.0825791602164617
-0.0810146525984489;-0.0852930293315567
-0.0807043950748508;-0.0916900065314235
-0.0803941375512528;-0.0916900065314235
-0.0800838800276547;-0.0949854190283245
-0.0797736225040566;-0.0926592455011003
-0.0794633649804586;-0.0982808315252256
-0.0791531074568605;-0.116696371949084
-0.0788428499332625;-0.136468846930491
-0.0785325924096644;-0.14402891089397
-0.0782223348860663;-0.135111912372943
-0.0779120773624683;-0.128521087379141
-0.0776018198388702;-0.125613370470111
-0.0772915623152721;-0.113982502833989
-0.0769813047916741;-0.103320874167545
-0.076671047268076;-0.0959546579980013
-0.076360789744478;-0.0913023109435528
-0.0760505322208799;-0.093628484470777
-0.0757402746972818;-0.0996377660827731
-0.0754300171736838;-0.0980869837312902
-0.0751197596500857;-0.093046941088971
-0.0748095021264876;-0.0982808315252256
-0.0744992446028896;-0.106228591076575
-0.0741889870792915;-0.11689021974302
-0.0738787295556935;-0.123674892530757
-0.0735684720320954;-0.11727791533089
-0.0732582145084973;-0.109911699161347
-0.0729479569848993;-0.106616286664446
-0.0726376994613012;-0.100994700640321
-0.0723274419377031;-0.0949854190283245
-0.0720171844141051;-0.0944038756465185
-0.071706926890507;-0.0916900065314235
-0.071396669366909;-0.0843237903618799
-0.0710864118433109;-0.0841299425679446
-0.0707761543197128;-0.0945977234404538
-0.0704658967961148;-0.10894246019167
-0.0701556392725167;-0.11979793665205
-0.0698453817489187;-0.1277456962034
-0.0695351242253206;-0.128521087379141
-0.0692248667017225;-0.128521087379141
-0.0689146091781245;-0.129102630760947
-0.0686043516545264;-0.121348719003533
-0.0682940941309283;-0.121348719003533
-0.0679838366073303;-0.111074785924959
-0.0676735790837322;-0.113788655040054
-0.0673633215601342;-0.117084067536955
-0.0670530640365361;-0.102739330785739
-0.066742806512938;-0.0862622683012335
-0.06643254898934;-0.0790898999256253
-0.0661222914657419;-0.0781206609559485
-0.0658120339421438;-0.0883945940345224
-0.0655017764185458;-0.095760810204066
-0.0651915188949477;-0.0945977234404538
-0.0648812613713497;-0.0841299425679446
-0.0645710038477516;-0.0754067918408535
-0.0642607463241535;-0.0806406822771082
-0.0639504888005555;-0.0889761374163285
-0.0636402312769574;-0.101382396228191
-0.0633299737533593;-0.110299394749218
-0.0630197162297613;-0.104483960931157
-0.0627094587061632;-0.099056222700967
-0.0623992011825652;-0.101382396228191
-0.0620889436589671;-0.107391677840187
-0.061778686135369;-0.112819416070377
-0.061468428611771;-0.112044024894636
-0.0611581710881729;-0.103708569755416
-0.0608479135645749;-0.0928530932950356
-0.0605376560409768;-0.0883945940345224
-0.0602273985173787;-0.093628484470777
-0.0599171409937807;-0.106810134458381
-0.0596068834701826;-0.114951741803666
-0.0592966259465845;-0.103902417549351
-0.0589863684229865;-0.0913023109435528
-0.0586761108993884;-0.0843237903618799
-0.0583658533757904;-0.0802529866892374
-0.0580555958521923;-0.0790898999256253
-0.0577453383285942;-0.0781206609559485
-0.0574350808049962;-0.0852930293315567
-0.0571248232813981;-0.0969238969676781
-0.0568145657578001;-0.0953731146161952
-0.056504308234202;-0.0934346366768417
-0.0561940507106039;-0.0934346366768417
-0.0558837931870059;-0.093628484470777
-0.0555735356634078;-0.0833545513922031
-0.0552632781398097;-0.0742437050772414
-0.0549530206162117;-0.0744375528711768
-0.0546427630926136;-0.0734683139015
-0.0543325055690156;-0.0734683139015
-0.0540222480454175;-0.0769575741923364
-0.0537119905218194;-0.0785083565438192
-0.0534017329982214;-0.0771514219862717
-0.0530914754746233;-0.0785083565438192
-0.0527812179510252;-0.0835483991861385
-0.0524709604274272;-0.0887822896223931
-0.0521607029038291;-0.0870376594769749
-0.0518504453802311;-0.0765698786044657
-0.051540187856633;-0.0569912514169947
-0.0512299303330349;-0.0449726881930026
-0.0509196728094369;-0.0463296227505501
-0.0506094152858388;-0.053889686714029
-0.0502991577622408;-0.0540835345079644
-0.0499889002386427;-0.0533081433322229
-0.0496786427150446;-0.0589297293563483
-0.0493683851914466;-0.0678467278773747
-0.0490581276678485;-0.0792837477195607
-0.0487478701442504;-0.0827730080103971
-0.0484376126206524;-0.0693975102288575
-0.0481273550970543;-0.0564097080351886
-0.0478170975734563;-0.0587358815624129
-0.0475068400498582;-0.0643574675865383
-0.0471965825262601;-0.0622251418532493
-0.0468863250026621;-0.0536958389200937
-0.046576067479064;-0.0463296227505501
-0.0462658099554659;-0.0521450565686108
-0.0459555524318679;-0.0606743595017665
-0.0456452949082698;-0.0598989683260251
-0.0453350373846718;-0.0569912514169947
-0.0450247798610737;-0.0482681006899037
-0.0447145223374756;-0.0323725815872045
-0.0444042648138776;-0.0207417139510831
-0.0440940072902795;-0.0178339970420528
-0.0437837497666814;-0.00697852058167282
-0.0434734922430834;0.0118247154300567
-0.0431632347194853;0.0118247154300567
-0.0428529771958873;0.0219048007146952
-0.0425427196722892;0.0308217992357216
-0.0422324621486911;0.042452666871843
-0.0419222046250931;0.0469111661323562
-0.041611947101495;0.039738797756748
-0.041301689577897;0.0333418205568813
-0.0409914320542989;0.0376064720234591
-0.0406811745307008;0.0434219058415198
-0.0403709170071028;0.0327602771750752
-0.0400606594835047;0.0215171051268245
-0.0397504019599066;0.0131816499876042
-0.0394401444363086;0.00891699852102638
-0.0391298869127105;0.0100800852846385
-0.0388196293891125;0.0135693455754749
-0.0385093718655144;0.016864758072376
-0.0381991143419163;0.0215171051268245
-0.0378888568183183;0.0250063654176609
-0.0375785992947202;0.0248125176237256
-0.0372683417711221;0.0253940610055317
-0.0369580842475241;0.0331479727629459
-0.036647826723926;0.0321787337932691
-0.036337569200328;0.0236494308601135
-0.0360273116767299;0.0178339970420528
-0.0357170541531318;0.0182216926299235
-0.0354067966295338;0.0147324323390871
-0.0350965391059357;0.00290771690903034
-0.0347862815823376;-0.00368310808477177
-0.0344760240587396;-0.0118247154300567
-0.0341657665351415;-0.0166709102784406
-0.0338555090115435;-0.0151201279269578
-0.0335452514879454;-0.00949854190283245
-0.0332349939643473;-0.00290771690903034
-0.0329247364407493;0.00736621616954353
-0.0326144789171512;0.0129878021936689
-0.0323042213935532;0.00775391175741425
-0.0319939638699551;-0.00252002132115963
-0.031683706346357;-0.00678467278773747
-0.031373448822759;-0.00213232573328892
-0.0310631912991609;0.00969238969676781
-0.0307529337755628;0.00969238969676781
-0.0304426762519648;0.0335356683508166
-0.0301324187283667;0.0641636197926029
-0.0298221612047687;0.0980869837312902
-0.0295119036811706;0.132979586639654
-0.0292016461575725;0.176401492481174
-0.0288913886339745;0.210906399801668
-0.0285811311103764;0.22874039684372
-0.0282708735867783;0.236882004189005
-0.0279606160631803;0.237269699776876
-0.0276503585395822;0.237657395364747
-0.0273401010159842;0.248125176237256
-0.0270298434923861;0.279140823266913
-0.026719585968788;0.321593490138756
-0.02640932844519;0.360944592307633
-0.0260990709215919;0.393704869482708
-0.0257888133979938;0.41909893048824
-0.0254785558743958;0.440228340027194
-0.0251682983507977;0.456317706923828
-0.0248580408271997;0.471243987056851
-0.0245477833036016;0.480936376753619
-0.0242375257800035;0.480742528959683
-0.0239272682564055;0.485588723808067
-0.0236170107328074;0.501290395116831
-0.0233067532092094;0.506136589965215
-0.0229964956856113;0.490434918656451
-0.0226862381620132;0.466591640002402
-0.0223759806384152;0.46252083632976
-0.0220657231148171;0.479773289990006
