AR,E0001,Eprism,length_nm,diameter_nm,natoms,xyz_file
0.04505555555555553,0.1,1.0,0.40712200000000004,9.036000000000007,2971,CoNR_000.xyz
0.049143994454485196,0.12689610031679222,1.0,0.40712200000000004,8.284267579776342,2551,CoNR_001.xyz
0.11585714285714281,0.16102620275609392,1.0,0.8142440000000001,7.028000000000003,3069,CoNR_002.xyz
0.11585714285714281,0.20433597178569418,1.0,0.8142440000000001,7.028000000000003,3069,CoNR_003.xyz
0.12012068885213231,0.2592943797404667,1.0,0.8142440000000001,6.7785492056437375,2817,CoNR_004.xyz
0.21149859316751685,0.32903445623126687,1.0,1.2213660000000002,5.774818554148116,2919,CoNR_005.xyz
0.21149859316751685,0.41753189365604015,1.0,1.2213660000000002,5.774818554148116,2919,CoNR_006.xyz
0.30883568505361825,0.5298316906283709,1.0,1.6284880000000002,5.272991687205031,3107,CoNR_007.xyz
0.4266451769457495,0.6723357536499337,1.0,2.0356100000000006,4.771201246366933,3155,CoNR_008.xyz
0.45055555555555543,0.8531678524172808,1.0,2.0356100000000006,4.5180000000000025,2813,CoNR_009.xyz
0.5721407290386556,1.0826367338740546,1.0,2.4427320000000003,4.269460075153925,2977,CoNR_010.xyz
0.8644265876543745,1.373823795883263,1.0,3.2569760000000003,3.7677878567315006,3057,CoNR_011.xyz
1.0427142857142855,1.743328822199988,1.0,3.664098,3.5140000000000007,2991,CoNR_012.xyz
1.2464636591346354,2.2122162910704493,1.0,4.07122,3.266216363521154,2867,CoNR_013.xyz
1.6220000000000003,2.807216203941177,1.0,4.885464000000001,3.012,2947,CoNR_014.xyz
2.2087778804747935,3.562247890262442,1.0,6.10683,2.764800414737625,3093,CoNR_015.xyz
2.757399999999996,4.520353656360243,1.0,6.921074000000002,2.5100000000000042,2897,CoNR_016.xyz
3.081799999999996,5.736152510448679,1.0,7.735318000000001,2.510000000000004,3229,CoNR_017.xyz
3.9567557749114415,7.27895384398315,1.0,8.956684000000001,2.263643375917096,3053,CoNR_018.xyz
5.474249999999994,9.23670857187386,1.0,10.992294000000001,2.0080000000000022,2991,CoNR_019.xyz
7.158834351364067,11.721022975334806,1.0,12.620782000000002,1.7629660613106934,2683,CoNR_020.xyz
8.082554912830387,14.873521072935118,1.0,14.249270000000001,1.7629660613106957,3023,CoNR_021.xyz
11.894666666666662,18.873918221350976,1.0,17.913368000000002,1.5060000000000007,2853,CoNR_022.xyz
12.70566666666666,23.95026619987486,1.0,19.134733999999998,1.5060000000000007,3035,CoNR_023.xyz
19.01326462596156,30.39195382313198,1.0,24.020198,1.2633389621686404,2741,CoNR_024.xyz
20.94681696080513,38.56620421163472,1.0,26.462930000000007,1.2633389621686395,3017,CoNR_025.xyz
31.628999999999937,48.93900918477494,1.0,31.755516,1.004000000000002,2437,CoNR_026.xyz
38.927999999999955,62.10169418915616,1.0,39.083712000000006,1.0040000000000013,2995,CoNR_027.xyz
39.73899999999995,78.80462815669912,1.0,39.89795600000001,1.0040000000000016,3057,CoNR_028.xyz
66.36551586802102,100.0,1.0,50.89025,0.7668176662892792,2387,CoNR_029.xyz
