Mol1,Mol2,Mol1_fraction,EM?
Phenylethanol,Carnitine,0.50,NO
Lactic acid,Carnitine,0.50,YES
Octanoic acid,Carnitine,0.50,NO
Decanoic acid,Carnitine,0.50,NO
Dodecan 1 ol,Carnitine,0.50,NO
Palmitic acid,Carnitine,0.50,NO
Citric acid,Carnitine,0.50,NO
Phenoxyethanol,Carnitine,0.50,NO
Lactic acid,Carnitine,0.67,YES
Lactic acid,Carnitine,0.67,YES
Lactic acid,Carnitine,0.33,NO
Phenoxyethanol,Carnitine,0.67,NO
Phenoxyethanol,Carnitine,0.75,NO
Phenoxyethanol,Carnitine,0.80,NO
Phenoxyethanol,Carnitine,0.33,NO
Phenoxyethanol,Carnitine,0.25,NO
Phenoxyethanol,Carnitine,0.20,NO
Dodecanoic acid,Carnitine,0.50,NO
Tetradecanol,Carnitine,0.50,NO
Lactic acid,Carnitine,0.25,NO
Caffeine,L arginine,0.50,NO
Caffeine,Citrulline,0.50,NO
Caffeine,DL glucose,0.50,NO
Urea,Caffeine,0.50,NO
Caffeine,Betaine,0.50,NO
Caffeine,Sorbitol,0.50,NO
Caffeine,Glycerol,0.50,NO
Caffeine,DL glucose,0.67,NO
Caffeine,DL glucose,0.75,NO
Urea,Caffeine,0.33,NO
Urea,Caffeine,0.25,NO
Caffeine,Sorbitol,0.67,NO
Caffeine,Sorbitol,0.75,NO
Caffeine,DL glucose,0.33,NO
Caffeine,DL glucose,0.40,NO
Caffeine,DL glucose,0.60,NO
Urea,Caffeine,0.67,NO
Urea,Caffeine,0.60,NO
Urea,Caffeine,0.40,NO
Caffeine,Sorbitol,0.33,NO
Caffeine,Sorbitol,0.40,NO
Caffeine,Sorbitol,0.60,NO
Caffeine,L arginine,0.67,NO
Caffeine,L arginine,0.75,NO
Caffeine,Citrulline,0.67,NO
Caffeine,Citrulline,0.75,NO
Caffeine,Sorbitol,0.36,NO
Caffeine,Sorbitol,0.31,NO
Caffeine,Sorbitol,0.29,NO
Caffeine,Glycerol,0.67,NO
Caffeine,Glycerol,0.75,NO
Caffeine,Betaine,0.67,NO
Caffeine,Betaine,0.75,NO
Lactic acid,Caffeine,0.50,NO
Glycine,Caffeine,0.50,NO
Caffeine,Inositol,0.50,NO
Tyrosine,Caffeine,0.50,NO
Lactic acid,Caffeine,0.33,NO
Lactic acid,Caffeine,0.25,NO
Lactic acid,Caffeine,0.67,NO
Lactic acid,Caffeine,0.60,NO
Lactic acid,Caffeine,0.40,NO
Caffeine,Trehalose,0.50,NO
1 3 butylene glycol,Caffeine,0.50,NO
1 2 pentanediol,Caffeine,0.50,NO
Glycerol,Choline chloride,0.33,YES
Menthol,Butanoic acid,0.50,YES
Decanoic acid,Menthol,0.50,YES
Thymol,Menthol,0.50,YES
Thymol,Menthol,0.50,YES
Decanoic acid,Menthol,0.33,YES
Menthol,Butanoic acid,0.50,YES
Menthol,Butanoic acid,0.67,YES
Monoethanolamine,Choline chloride,0.86,YES
Glycerol,Calcium carbonate,0.83,YES
Glycine,Caffeine,0.33,NO
Caffeine,Trehalose,0.67,NO
Tyrosine,Caffeine,0.33,NO
Caffeine,Citric acid,0.67,NO
Urea,Betaine,0.60,NO
Urea,Betaine,0.64,NO
Urea,Betaine,0.75,NO
Glutamic acid,Trehalose,0.50,NO
Usnic acid,DL glucose,0.50,NO
Formic acid,DL glucose,0.60,YES
Thiourea,Choline chloride,0.50,YES
Thiourea,Choline chloride,0.67,NO
Betaine,Trehalose,0.50,YES
Glycerol,Potassium carbonate,0.86,YES
Ethylene glycol,Potassium carbonate,0.86,YES
Glutamic acid,DL glucose,0.50,NO
Arabitol,DL glucose,0.50,YES
Betaine,DL glucose,0.50,YES
D galactose,DL glucose,0.50,NO
Glutamine,DL glucose,0.50,NO
DL glucose,D mannitol,0.50,NO
Serine,DL glucose,0.50,NO
Tryptophane,DL glucose,0.50,NO
Tyrosine,DL glucose,0.50,NO
Usnic acid,Betaine,0.50,NO
Formic acid,Betaine,0.50,YES
Glutamic acid,Betaine,0.50,NO
Betaine,Arabitol,0.50,YES
Betaine,D galactose,0.50,NO
Glutamine,Betaine,0.50,NO
Betaine,D mannitol,0.50,NO
Betaine,Serine,0.50,NO
Betaine,Sorbitol,0.50,YES
Tryptophane,Betaine,0.50,NO
Usnic acid,DL malic acid,0.50,NO
Formic acid,DL malic acid,0.50,YES
Glutamic acid,DL malic acid,0.50,NO
Ethylene glycol,Choline chloride,0.50,YES
DL malic acid,Arabitol,0.50,YES
DL malic acid,L arginine,0.50,YES
DL malic acid,Betaine,0.50,YES
DL malic acid,D galactose,0.50,NO
DL malic acid,DL glucose,0.50,YES
DL malic acid,Glutamine,0.50,NO
DL malic acid,D mannitol,0.50,NO
Glutamic acid,DL malic acid,0.90,NO
Glutamic acid,DL malic acid,0.40,NO
Glutamic acid,DL malic acid,0.30,NO
Glutamic acid,DL malic acid,0.20,NO
Glutamic acid,DL malic acid,0.10,NO
Tryptophane,Valine,0.50,NO
Valine,Sorbitol,0.50,NO
Tryptophane,Sorbitol,0.50,NO
Arabitol,Sorbitol,0.50,YES
Tryptophane,L alanine,0.50,NO
Tryptophane,D mannitol,0.50,NO
Sorbitol,D mannitol,0.50,NO
Tryptophane,Arabitol,0.50,NO
Valine,Adonitol,0.50,NO
Tryptophane,Adonitol,0.50,NO
Adonitol,Sorbitol,0.50,NO
Adonitol,D mannitol,0.50,NO
DL malic acid,Serine,0.50,YES
DL malic acid,Sorbitol,0.50,YES
DL malic acid,Trehalose,0.50,NO
Tryptophane,DL malic acid,0.50,NO
Acetic acid,Glutamic acid,0.90,NO
Acetic acid,Glutamic acid,0.80,NO
Acetic acid,Glutamic acid,0.70,NO
Acetic acid,Glutamic acid,0.60,NO
Acetic acid,Glutamic acid,0.50,NO
Acetic acid,Glutamic acid,0.40,NO
Acetic acid,Glutamic acid,0.30,NO
Acetic acid,Glutamic acid,0.20,NO
Acetic acid,Glutamic acid,0.10,NO
Tryptophane,DL malic acid,0.90,NO
Tryptophane,DL malic acid,0.70,NO
Tryptophane,DL malic acid,0.30,NO
Tryptophane,DL malic acid,0.10,NO
Formic acid,Citric acid,0.50,YES
DL malic acid,Citric acid,0.50,YES
Glutamic acid,Citric acid,0.50,NO
Citric acid,Adonitol,0.53,YES
Citric acid,Arabitol,0.50,YES
Citric acid,D mannitol,0.50,NO
Tryptophane,Citric acid,0.50,NO
Valine,Citric acid,0.50,NO
Formic acid,Glutamic acid,0.50,NO
Formic acid,Adonitol,0.50,YES
Formic acid,L alanine,0.50,NO
Formic acid,Arabitol,0.50,YES
Formic acid,D mannitol,0.50,NO
Formic acid,Sorbitol,0.50,YES
Pyroglutamic acid,DL malic acid,0.10,YES
Pyroglutamic acid,DL malic acid,0.30,NO
Pyroglutamic acid,DL malic acid,0.55,NO
Pyroglutamic acid,DL malic acid,0.50,NO
Pyroglutamic acid,DL malic acid,0.70,NO
Pyroglutamic acid,DL malic acid,0.90,YES
Tryptophane,Formic acid,0.50,NO
Valine,Formic acid,0.50,NO
Glutamic acid,Adonitol,0.50,NO
Glutamic acid,Sorbitol,0.50,NO
Tryptophane,Glutamic acid,0.50,NO
Valine,DL malic acid,0.50,NO
Arabitol,Adonitol,0.50,NO
DL malic acid,Adonitol,0.50,YES
Citric acid,Adonitol,0.50,YES
DL malic acid,Citric acid,0.10,NO
DL malic acid,Citric acid,0.20,NO
DL malic acid,Citric acid,0.30,NO
DL malic acid,Citric acid,0.40,NO
